drop_fraction,repeat,cp_f1,cp_count,cp_times,sample_id,cluster
0.1,11,1.0,1,[48.703090835164744],S0008,-1
0.1,12,1.0,1,[48.703090835164744],S0008,-1
0.1,13,1.0,1,[48.703090835164744],S0008,-1
0.1,14,1.0,1,[48.703090835164744],S0008,-1
0.1,15,1.0,1,[48.703090835164744],S0008,-1
0.1,16,1.0,1,[48.703090835164744],S0008,-1
0.1,17,1.0,1,[48.703090835164744],S0008,-1
0.1,18,1.0,1,[48.703090835164744],S0008,-1
0.1,19,1.0,1,[58.44370900219769],S0008,-1
0.1,20,1.0,1,[48.703090835164744],S0008,-1
0.1,21,1.0,1,[48.703090835164744],S0008,-1
0.1,22,1.0,1,[48.703090835164744],S0008,-1
0.1,23,1.0,1,[48.703090835164744],S0008,-1
0.1,24,1.0,1,[68.18432716923064],S0008,-1
0.1,25,1.0,1,[48.703090835164744],S0008,-1
0.1,26,1.0,1,[68.18432716923064],S0008,-1
0.1,27,0.0,1,[87.66556350329654],S0008,-1
0.1,28,1.0,1,[48.703090835164744],S0008,-1
0.1,29,1.0,1,[48.703090835164744],S0008,-1
0.1,30,1.0,1,[68.18432716923064],S0008,-1
0.1,31,1.0,1,[58.44370900219769],S0008,-1
0.1,32,1.0,1,[68.18432716923064],S0008,-1
0.1,33,0.0,1,[77.92494533626359],S0008,-1
0.1,34,1.0,1,[48.703090835164744],S0008,-1
0.1,35,1.0,1,[48.703090835164744],S0008,-1
0.1,36,1.0,1,[58.44370900219769],S0008,-1
0.1,37,1.0,1,[48.703090835164744],S0008,-1
0.1,38,1.0,1,[48.703090835164744],S0008,-1
0.1,39,1.0,1,[48.703090835164744],S0008,-1
0.1,40,1.0,1,[68.18432716923064],S0008,-1
0.1,41,0.0,1,[77.92494533626359],S0008,-1
0.1,42,1.0,1,[58.44370900219769],S0008,-1
0.1,43,1.0,1,[48.703090835164744],S0008,-1
0.1,44,1.0,1,[48.703090835164744],S0008,-1
0.1,45,0.0,1,[87.66556350329654],S0008,-1
0.1,46,1.0,1,[48.703090835164744],S0008,-1
0.1,47,0.0,1,[77.92494533626359],S0008,-1
0.1,48,0.0,1,[77.92494533626359],S0008,-1
0.1,49,1.0,1,[48.703090835164744],S0008,-1
0.05,0,1.0,3,"[50.808504202101744, 132.1021109254645, 203.23401680840698]",S0013,1
0.05,1,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,2,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,3,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,4,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,5,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,6,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,7,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,8,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.05,9,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,10,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.05,11,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,12,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,13,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,14,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,15,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,16,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,17,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,18,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.05,19,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,20,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,21,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,22,1.0,3,"[60.970205042522096, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,23,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,24,1.0,3,"[50.808504202101744, 132.1021109254645, 203.23401680840698]",S0013,1
0.05,25,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.05,26,1.0,3,"[50.808504202101744, 121.94041008504416, 193.07231596798658]",S0013,1
0.05,27,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,28,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,29,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,30,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.05,31,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,32,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,33,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,34,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,35,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,36,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,37,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,38,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,39,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,40,1.0,3,"[50.808504202101744, 132.1021109254645, 203.23401680840698]",S0013,1
0.05,41,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
