curve_id,included_strict_150h,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points_after_mean,duplicate_x_rows_aggregated_by_mean,x_min_hours_before_rezero,x_max_hours_before_rezero,duration_hours
图片186_f3af022574,False,duration_shorter_than_150h,lab-v2/som_references/accepted/samples_test/图片186/accepted/samples_test__unknown__unknown__图片186__Series_1__Series_1.csv,图片186,samples_test__unknown__unknown__图片186__Series_1__Series_1,Time,(h),PCE,(Nor.),1.0,37,0,-0.2246939333197382,70.52990231854831,70.75459625186805
图片186_a9bd8efcd9,False,duration_shorter_than_150h,lab-v2/som_references/accepted/samples_test/图片186/accepted/samples_test__unknown__unknown__图片186__Series_2__Series_2.csv,图片186,samples_test__unknown__unknown__图片186__Series_2__Series_2,Time,(h),PCE,(Nor.),1.0,37,0,-0.2246939333197382,70.52990231854831,70.75459625186805
图片186_3192ff9cc9,False,duration_shorter_than_150h,lab-v2/som_references/accepted/samples_test/图片186/accepted/samples_test__unknown__unknown__图片186__Series_3__Series_3.csv,图片186,samples_test__unknown__unknown__图片186__Series_3__Series_3,Time,(h),PCE,(Nor.),1.0,37,0,0.758008792400652,71.5126050442687,70.75459625186804
图片190_df7fb5d9b1,False,duration_shorter_than_150h,lab-v2/som_references/accepted/samples_test/图片190/accepted/samples_test__unknown__unknown__图片190__Target__Series_2.csv,图片190,samples_test__unknown__unknown__图片190__Target__Series_2,Time,(h),PCE,(%),1.0,6,0,-12.689774873653306,129.77682231643433,142.46659719008764
图片194_7e47c73e7b,False,duration_shorter_than_150h,lab-v2/som_references/accepted/samples_test/图片194/accepted/samples_test__unknown__unknown__图片194__Series_1__Series_1.csv,图片194,samples_test__unknown__unknown__图片194__Series_1__Series_1,Time,(hr),PCE,(%),1.0,39,0,-0.4524582201495875,100.25153525282084,100.70399347297044
图片196_fcb6aa8a0d,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片196/accepted/samples_test__unknown__unknown__图片196__Series_1__Series_1.csv,图片196,samples_test__unknown__unknown__图片196__Series_1__Series_1,HF Cycle,,Normalized PCE,(a.u.),,30,0,,,
图片196_c57919fcd4,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片196/accepted/samples_test__unknown__unknown__图片196__Series_2__Series_2.csv,图片196,samples_test__unknown__unknown__图片196__Series_2__Series_2,HF Cycle,,Normalized PCE,(a.u.),,27,0,,,
图片200_127c05ff0a,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片200/accepted/samples_test__unknown__unknown__图片200__Series_1__Series_1.csv,图片200,samples_test__unknown__unknown__图片200__Series_1__Series_1,,,,,,37,0,,,
图片200_4fe3112575,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片200/accepted/samples_test__unknown__unknown__图片200__Series_2__Series_2.csv,图片200,samples_test__unknown__unknown__图片200__Series_2__Series_2,,,,,,37,0,,,
图片204_6b1b2d067d,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_1__Series_1.csv,图片204,samples_test__unknown__unknown__图片204__Series_1__Series_1,Time,(h),Normalized Pmax,,,42,0,,,
图片204_1ffdd0ff20,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_2__Series_2.csv,图片204,samples_test__unknown__unknown__图片204__Series_2__Series_2,Time,(h),Normalized Pmax,,,41,0,,,
图片208_22f8291cbd,False,x_axis_not_explicit_time;nonfinite_or_nonpositive_series,lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_1__Series_1.csv,图片208,samples_test__unknown__unknown__图片208__Series_1__Series_1,,,Norm. PCE,,,43,0,,,
图片208_08d5eeed94,False,x_axis_not_explicit_time;nonfinite_or_nonpositive_series,lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_2__Series_2.csv,图片208,samples_test__unknown__unknown__图片208__Series_2__Series_2,,,Norm. PCE,,,37,0,,,
图片208_5b29eab76c,False,x_axis_not_explicit_time;nonfinite_or_nonpositive_series,lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_3__Series_3.csv,图片208,samples_test__unknown__unknown__图片208__Series_3__Series_3,,,Norm. PCE,,,43,0,,,
图片208_ea1f3aee53,False,x_axis_not_explicit_time;nonfinite_or_nonpositive_series,lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_4__Series_4.csv,图片208,samples_test__unknown__unknown__图片208__Series_4__Series_4,,,Norm. PCE,,,43,0,,,
图片210_e4de2ce681,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_1__Series_1.csv,图片210,samples_test__unknown__unknown__图片210__Series_1__Series_1,,,,,,40,0,,,
图片210_2c4cee339a,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_2__Series_2.csv,图片210,samples_test__unknown__unknown__图片210__Series_2__Series_2,,,,,,23,0,,,
图片210_7a4d91cd3b,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_3__Series_3.csv,图片210,samples_test__unknown__unknown__图片210__Series_3__Series_3,,,,,,41,0,,,
图片31_17a7f4b089,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_1__Series_1.csv,图片31,samples_test__unknown__unknown__图片31__Series_1__Series_1,,,,,,50,0,,,
图片31_553954da9b,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_2__Series_2.csv,图片31,samples_test__unknown__unknown__图片31__Series_2__Series_2,,,,,,50,0,,,
