n_nodes,topology,sigma,learning_rate,iterations,seed,qe,te,target_node,target_node_size,target_target_count,target_precision,target_recall,target_f1,target_centroid_rise_then_fall_broad,target_centroid_rise_then_fall_core,target_centroid_peak_time_h,target_centroid_initial_gain,target_centroid_post_peak_drop,screen_score
3,1x3,0.5,0.3,20000,42,1.7569442591632107,0.0,0,1013,44,0.04343534057255676,0.7857142857142857,0.08231992516370441,False,False,0.0,0.0,0.09370764762121864,0.1720477076107621
25,5x5,0.5,0.1,20000,42,0.6386464972917415,0.5388349514563107,18,86,13,0.1511627906976744,0.23214285714285715,0.18309859154929578,False,False,26.333333333333332,0.0004276138363787929,0.11299244240426098,0.17171956155537876
25,5x5,0.05,0.3,20000,42,0.6722586432525552,0.9230235783633842,14,66,11,0.16666666666666666,0.19642857142857142,0.180327868852459,False,False,27.5,0.0018451694012179276,0.14295461901555695,0.1696282201405152
25,5x5,0.1,0.3,20000,42,0.6722586432525552,0.9230235783633842,14,66,11,0.16666666666666666,0.19642857142857142,0.180327868852459,False,False,27.5,0.0018451694012179276,0.14295461901555695,0.1696282201405152
36,6x6,0.8,0.05,20000,42,0.5795505469396465,0.2829403606102635,22,47,9,0.19148936170212766,0.16071428571428573,0.17475728155339804,False,False,41.166666666666664,0.005802348692460657,0.1051348682468225,0.16893259214448017
20,4x5,1.2,0.1,20000,42,0.7305320283008032,0.21359223300970873,9,101,14,0.13861386138613863,0.25,0.178343949044586,False,False,25.5,0.0009272484469073916,0.10013455374422375,0.1682561329381346
3,1x3,0.3,0.1,20000,42,1.6287323133263096,0.8619972260748959,0,940,42,0.04468085106382979,0.75,0.08433734939759036,False,False,0.0,0.0,0.08328302123086828,0.1680729300179441
3,1x3,0.5,0.1,20000,42,1.6287322836131841,0.8619972260748959,0,940,42,0.04468085106382979,0.75,0.08433734939759036,False,False,0.0,0.0,0.08328302123086828,0.1680729300179441
20,4x5,0.3,0.1,20000,42,0.7062364057921114,0.8294036061026352,19,95,13,0.1368421052631579,0.23214285714285715,0.17218543046357618,False,False,0.0,0.0,0.11534491531764779,0.16196677538216403
20,4x5,1.2,0.05,20000,42,0.7281117401052684,0.19209431345353675,9,87,12,0.13793103448275862,0.21428571428571427,0.16783216783216784,False,False,27.333333333333332,0.0014237634324905102,0.10344279414286317,0.15743825140376866
4,2x2,0.5,0.3,20000,42,1.4342635349500588,0.0,0,807,37,0.04584882280049566,0.6607142857142857,0.08574739281575898,False,False,1.8333333333333333,3.196542363825827e-05,0.06597872884879219,0.15573548610517104
4,2x2,0.3,0.1,20000,42,1.3802095766005036,0.0,2,810,37,0.04567901234567901,0.6607142857142857,0.08545034642032331,False,False,1.6666666666666663,2.8156519516153722e-05,0.06631029910619324,0.15553601977100823
4,2x2,0.5,0.1,20000,42,1.3802095431957537,0.0,0,810,37,0.04567901234567901,0.6607142857142857,0.08545034642032331,False,False,1.6666666666666663,2.8156519516153722e-05,0.06631029910619324,0.15553601977100823
36,6x6,0.8,0.1,20000,42,0.5723131111729792,0.18030513176144244,22,66,10,0.15151515151515152,0.17857142857142858,0.16393442622950818,False,False,26.333333333333332,0.001119389889375988,0.09940265212918886,0.15420747285501382
36,6x6,0.8,0.3,20000,42,0.565310117441297,0.17406380027739252,17,56,9,0.16071428571428573,0.16071428571428573,0.16071428571428573,False,False,42.166666666666664,0.004259465479835689,0.1105414438680572,0.15267857142857144
16,4x4,0.5,0.05,20000,42,0.7587552362514264,0.34535367545076284,15,106,13,0.12264150943396226,0.23214285714285715,0.16049382716049382,False,False,0.0,0.0,0.11048616551308443,0.15186079498186417
25,5x5,0.8,0.1,20000,42,0.6428630127769426,0.1463245492371706,14,107,13,0.12149532710280374,0.23214285714285715,0.15950920245398773,False,False,0.0,0.0,0.10331788032244138,0.15102462792926358
25,5x5,0.3,0.1,20000,42,0.639574611179397,0.863384188626907,7,85,11,0.12941176470588237,0.19642857142857142,0.15602836879432624,False,False,22.333333333333332,0.0026286698084208027,0.09102307694740297,0.14630199952321354
25,5x5,0.8,0.3,20000,42,0.6528599982666431,0.28640776699029125,24,50,8,0.16,0.14285714285714285,0.15094339622641512,False,False,42.666666666666664,0.005234596848235351,0.1106690755230687,0.14490026954177898
