window,T_h,id,duration_covers,n_original_in_window,included,reason
coverage090,47.80591738392364,C154,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C165,True,4,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C166,True,4,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C167,True,4,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C172,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C173,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C174,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C175,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C176,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C177,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C178,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C179,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C180,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C181,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C182,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C183,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C184,True,35,True,included
coverage090,47.80591738392364,C186,True,6,True,included
coverage090,47.80591738392364,C191,True,7,True,included
coverage090,47.80591738392364,C192,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C193,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C194,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C195,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C197,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C198,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C199,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C202,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C205,True,33,True,included
coverage090,47.80591738392364,C206,True,33,True,included
coverage090,47.80591738392364,C207,True,33,True,included
coverage090,47.80591738392364,C208,False,31,False,duration_short
coverage090,47.80591738392364,C209,False,30,False,duration_short
coverage090,47.80591738392364,C211,False,30,False,duration_short
coverage090,47.80591738392364,C212,True,33,True,included
coverage090,47.80591738392364,C213,False,33,False,duration_short
coverage090,47.80591738392364,C214,False,33,False,duration_short
coverage090,47.80591738392364,C215,True,12,True,included
coverage090,47.80591738392364,C216,True,4,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C217,False,65,False,duration_short
coverage090,47.80591738392364,C218,False,65,False,duration_short
coverage080,164.82640238318905,C003,True,23,True,included
coverage080,164.82640238318905,C004,True,23,True,included
coverage080,164.82640238318905,C005,True,9,True,included
coverage080,164.82640238318905,C006,True,11,True,included
coverage080,164.82640238318905,C007,True,9,True,included
coverage080,164.82640238318905,C008,True,9,True,included
coverage080,164.82640238318905,C009,True,5,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C010,True,5,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C011,True,30,True,included
coverage080,164.82640238318905,C012,True,30,True,included
coverage080,164.82640238318905,C014,True,9,True,included
coverage080,164.82640238318905,C015,True,14,True,included
coverage080,164.82640238318905,C016,True,14,True,included
coverage080,164.82640238318905,C017,True,14,True,included
coverage080,164.82640238318905,C018,True,4,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C019,True,4,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C024,True,6,True,included
coverage080,164.82640238318905,C025,True,6,True,included
coverage080,164.82640238318905,C028,True,10,True,included
coverage080,164.82640238318905,C029,True,10,True,included
coverage080,164.82640238318905,C030,True,9,True,included
coverage080,164.82640238318905,C031,True,9,True,included
coverage080,164.82640238318905,C034,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C035,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C036,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C037,True,8,True,included
coverage080,164.82640238318905,C038,True,8,True,included
coverage080,164.82640238318905,C039,False,28,False,duration_short
coverage080,164.82640238318905,C040,False,28,False,duration_short
coverage080,164.82640238318905,C044,True,10,True,included
coverage080,164.82640238318905,C045,True,10,True,included
coverage080,164.82640238318905,C046,True,4,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C047,True,4,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C050,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C051,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C052,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C053,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C054,False,30,False,duration_short
coverage080,164.82640238318905,C055,True,13,True,included
coverage080,164.82640238318905,C056,True,12,True,included
coverage080,164.82640238318905,C057,True,12,True,included
coverage080,164.82640238318905,C061,True,6,True,included
coverage080,164.82640238318905,C062,True,6,True,included
coverage080,164.82640238318905,C063,True,9,True,included
coverage080,164.82640238318905,C064,True,9,True,included
coverage080,164.82640238318905,C065,True,9,True,included
coverage080,164.82640238318905,C075,False,42,False,duration_short
coverage080,164.82640238318905,C076,True,43,True,included
coverage080,164.82640238318905,C077,True,43,True,included
coverage080,164.82640238318905,C080,True,25,True,included
coverage080,164.82640238318905,C081,True,25,True,included
coverage080,164.82640238318905,C082,False,36,False,duration_short
coverage080,164.82640238318905,C083,False,36,False,duration_short
coverage080,164.82640238318905,C084,False,34,False,duration_short
coverage080,164.82640238318905,C085,False,34,False,duration_short
coverage080,164.82640238318905,C086,True,8,True,included
coverage080,164.82640238318905,C087,True,8,True,included
coverage080,164.82640238318905,C088,False,37,False,duration_short
coverage080,164.82640238318905,C089,False,37,False,duration_short
coverage080,164.82640238318905,C090,False,37,False,duration_short
coverage080,164.82640238318905,C091,True,6,True,included
coverage080,164.82640238318905,C092,True,6,True,included
coverage080,164.82640238318905,C093,True,6,True,included
coverage080,164.82640238318905,C094,False,6,False,duration_short
coverage080,164.82640238318905,C095,True,15,True,included
coverage080,164.82640238318905,C096,False,39,False,duration_short
coverage080,164.82640238318905,C099,True,13,True,included
coverage080,164.82640238318905,C100,True,13,True,included
coverage080,164.82640238318905,C103,True,12,True,included
coverage080,164.82640238318905,C104,True,12,True,included
coverage080,164.82640238318905,C105,True,5,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C106,True,5,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C109,True,9,True,included
coverage080,164.82640238318905,C110,True,9,True,included
coverage080,164.82640238318905,C118,True,17,True,included
coverage080,164.82640238318905,C124,True,5,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C125,True,5,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C126,True,1,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C127,True,19,True,included
coverage080,164.82640238318905,C128,True,19,True,included
