candidate,id,medoid,cluster,path_length,path_length_ratio,max_index_warp,mean_index_warp,max_time_warp_fraction,mean_time_warp_fraction,boundary_fraction,turn_collapse_fraction,turns
M016957,C153,C063,1,26,1.2380952380952381,0.19999999999999996,0.089027149321267,0.19948550506016607,0.08122487969211122,0.038461538461538464,0.0,0
M016957,C154,C063,1,22,1.0476190476190477,0.18235294117647058,0.08021390374331551,0.17063382762580365,0.07157464653559971,0.0,0.0,1
M016957,C165,C063,1,31,1.0333333333333334,0.06551724137931036,0.02219132369299221,0.06317270657859456,0.023085057407139876,0.0,0.5,2
M016957,C166,C063,1,32,1.0666666666666667,0.11551724137931041,0.04967672413793103,0.12346629580007418,0.04973945786610692,0.0,0.0,0
M016957,C167,C063,1,34,1.1333333333333333,0.1965517241379311,0.06602434077079107,0.1844376955413495,0.06569494184345319,0.0,0.0,0
M016957,C172,C063,1,31,1.24,0.2,0.09086021505376345,0.18048270555724596,0.08538155080936044,0.03225806451612903,0.0,0
M016957,C173,C063,1,28,1.12,0.18333333333333332,0.08601190476190479,0.1666522169925147,0.07995111690320146,0.0,0.0,2
M016957,C174,C063,1,23,1.0952380952380953,0.17352941176470582,0.07621483375959079,0.17596590804715345,0.0777999648178348,0.0,0.0,1
M016957,C175,C063,1,24,1.1428571428571428,0.1970588235294118,0.09154411764705882,0.19991466871635646,0.09304786612043874,0.0,0.0,1
M016957,C177,C063,1,31,1.24,0.15833333333333333,0.07741935483870967,0.16360431123428465,0.07441648162789832,0.0,0.0,2
M016957,C178,C063,1,22,1.0476190476190477,0.050000000000000044,0.01363636363636364,0.20374166956069598,0.09499174684865373,0.0,0.0,1
M016957,C179,C063,1,21,1.0,0.15,0.06190476190476189,0.18693756633777012,0.07526158700013748,0.0,0.0,0
M016957,C180,C063,1,21,1.0,0.20000000000000007,0.08095238095238094,0.15805709695426018,0.060535491875360926,0.047619047619047616,0.0,0
M016957,C181,C063,1,21,1.0,0.15000000000000002,0.05714285714285713,0.1648456507027582,0.07493832253592328,0.0,0.0,0
M016957,C182,C063,1,25,1.1363636363636365,0.1071428571428571,0.04733333333333333,0.1094448304739326,0.04816404677015489,0.0,0.0,0
M016957,C183,C063,1,26,1.1818181818181819,0.17380952380952386,0.05641025641025642,0.17009223872022472,0.056322980578527186,0.0,0.0,1
M016957,C186,C063,1,46,1.069767441860465,0.1952380952380952,0.08234989648033127,0.1814044436695863,0.08114447308716244,0.0,0.42857142857142855,7
M016957,C191,C063,1,59,1.0172413793103448,0.19210526315789472,0.06913470115967885,0.22081070044818238,0.06404500550171588,0.0,0.5,4
M016957,C192,C063,1,21,1.0,0.18333333333333335,0.07460317460317459,0.1692999566648038,0.07116006289581824,0.0,0.0,1
