sample_index,cluster_neuron_id,cluster_x,cluster_y,cluster_coord,PCE_before,PCE_after,PCE_delta
307,0,0,0,"(0, 0)",18.86671752,8.15445533,56.77862181
308,0,0,0,"(0, 0)",17.75879599,7.439803575,58.10637399
309,3,1,1,"(1, 1)",14.71257852,3.727693321,74.66322224
310,3,1,1,"(1, 1)",14.67157704,3.972225966,72.92570556
311,3,1,1,"(1, 1)",17.54010098,3.772976911,78.48942309
312,3,1,1,"(1, 1)",16.09158834,3.625520381,77.4694685
313,3,1,1,"(1, 1)",16.12902201,3.594540501,77.71383473
314,0,0,0,"(0, 0)",17.9508548,11.54993839,35.65800336
315,0,0,0,"(0, 0)",18.3189925,11.27417896,38.45633728
316,0,0,0,"(0, 0)",18.82198821,11.6207747,38.25957933
317,0,0,0,"(0, 0)",18.31990414,11.48804132,37.29202273
318,1,0,1,"(0, 1)",17.41870536,12.82708879,26.36026317
319,0,0,0,"(0, 0)",18.90135021,12.82193714,32.16390896
320,1,0,1,"(0, 1)",17.3650615,12.19536938,29.77065254
321,3,1,1,"(1, 1)",17.75852391,5.22300501,70.58874354
322,3,1,1,"(1, 1)",15.21789567,6.59115508,56.68813071
323,3,1,1,"(1, 1)",18.61366397,5.154490875,72.3080266
324,3,1,1,"(1, 1)",17.65755282,6.793157072,61.52832081
325,3,1,1,"(1, 1)",19.58605899,5.785972107,70.45872215
326,3,1,1,"(1, 1)",18.27612906,7.562922679,58.61857478
327,3,1,1,"(1, 1)",15.41029586,6.250348614,59.44043727
328,3,1,1,"(1, 1)",17.14926367,5.222403261,69.54736155
329,3,1,1,"(1, 1)",17.86081561,5.386665561,69.84087581
330,3,1,1,"(1, 1)",18.62750091,4.580829396,75.40824495
331,1,0,1,"(0, 1)",19.63081784,19.0859716,2.775463774
332,1,0,1,"(0, 1)",19.37708912,18.9848226,2.02438312
333,1,0,1,"(0, 1)",18.83772816,18.38493784,2.40363553
334,1,0,1,"(0, 1)",19.30020708,19.1223418,0.921571885
335,1,0,1,"(0, 1)",18.59432496,17.69689989,4.826338544
336,1,0,1,"(0, 1)",20.62168588,17.64258048,14.44646871
337,1,0,1,"(0, 1)",20.44301411,17.3814718,14.97598295
338,1,0,1,"(0, 1)",18.93178233,17.23025699,8.987665887
339,1,0,1,"(0, 1)",20.9537174,19.78309132,5.586722682
340,1,0,1,"(0, 1)",21.53181793,19.85917503,7.768238153
341,1,0,1,"(0, 1)",21.99493309,19.79992285,9.979617739
342,1,0,1,"(0, 1)",19.78398297,15.60690293,21.11344338
343,1,0,1,"(0, 1)",18.08886193,14.49223938,19.88307816
344,1,0,1,"(0, 1)",17.66190962,16.05131726,9.119015995
345,0,0,0,"(0, 0)",19.4418041,14.21182648,26.90068058
346,1,0,1,"(0, 1)",20.33555706,19.47869923,4.21359409
347,1,0,1,"(0, 1)",20.07502491,19.40246826,3.350215789
348,1,0,1,"(0, 1)",19.96414931,19.39305504,2.8605991
349,1,0,1,"(0, 1)",19.0365153,18.51386269,2.745526685
350,1,0,1,"(0, 1)",19.43581876,18.61926035,4.201306963
351,1,0,1,"(0, 1)",20.71302238,20.25228467,2.224386689
352,1,0,1,"(0, 1)",21.75516105,20.36844398,6.374198146
353,1,0,1,"(0, 1)",21.73214543,20.40581385,6.103086233
354,1,0,1,"(0, 1)",20.48949226,19.89404275,2.906121358
355,1,0,1,"(0, 1)",21.51920922,20.38734552,5.259782949
356,1,0,1,"(0, 1)",22.50683524,18.70133937,16.90817846
357,1,0,1,"(0, 1)",22.71495617,17.35324195,23.60433441
358,1,0,1,"(0, 1)",21.86078821,18.33879738,16.11099653
359,1,0,1,"(0, 1)",22.16310225,18.51688181,16.45176022
360,1,0,1,"(0, 1)",18.8852067,16.89682144,10.52879797
361,1,0,1,"(0, 1)",21.03901351,17.79788695,15.40531621
362,1,0,1,"(0, 1)",19.75905129,17.7164118,10.33774073
363,1,0,1,"(0, 1)",19.65381743,16.95710299,13.721072
364,1,0,1,"(0, 1)",19.92941751,16.18081534,18.80939155
365,1,0,1,"(0, 1)",19.34431167,16.61195726,14.1248469
366,1,0,1,"(0, 1)",18.44262543,13.55490578,26.50229854
367,3,1,1,"(1, 1)",19.52284103,7.246579888,62.88153001
368,3,1,1,"(1, 1)",19.61086693,5.686969097,71.00092966
369,0,0,0,"(0, 0)",20.10595283,9.357631999,53.4584007
370,0,0,0,"(0, 0)",19.82777429,8.858714771,55.32168846
371,0,0,0,"(0, 0)",18.24329656,10.55892839,42.12159873
372,0,0,0,"(0, 0)",20.50728331,10.66393112,47.99929879
373,0,0,0,"(0, 0)",20.43060975,12.779698,37.44827902
374,0,0,0,"(0, 0)",19.73994278,13.25952048,32.82898217
375,0,0,0,"(0, 0)",19.63821021,13.39857629,31.77292561
376,0,0,0,"(0, 0)",21.42060774,14.46450718,32.47387118
377,0,0,0,"(0, 0)",21.75363726,13.4363348,38.2340772
378,3,1,1,"(1, 1)",18.74146356,0.841478909,95.51006832
379,0,0,0,"(0, 0)",20.44555412,11.6728738,42.90752048
380,3,1,1,"(1, 1)",20.41403086,1.414956345,93.06870674
381,0,0,0,"(0, 0)",20.02245431,7.007108064,65.00375051
382,1,0,1,"(0, 1)",20.36726973,17.77090276,12.74774182
383,1,0,1,"(0, 1)",17.95783378,17.30404149,3.640708003
384,1,0,1,"(0, 1)",20.49552939,17.93158437,12.50977699
385,1,0,1,"(0, 1)",16.82335033,15.95413414,5.166724651
386,1,0,1,"(0, 1)",19.77370763,17.62303848,10.87640816
387,1,0,1,"(0, 1)",14.8671975,14.76830298,0.665186034
388,1,0,1,"(0, 1)",15.20464758,14.79733576,2.678863897
389,1,0,1,"(0, 1)",14.49860565,14.40844329,0.621869223
390,1,0,1,"(0, 1)",14.13163093,14.08800867,0.308685214
391,1,0,1,"(0, 1)",18.90686276,15.37187104,18.69687091
392,1,0,1,"(0, 1)",20.11731685,16.03969736,20.26920152
393,1,0,1,"(0, 1)",14.11667671,13.06454542,7.453108935
394,1,0,1,"(0, 1)",14.82086596,13.52159866,8.766473579
395,1,0,1,"(0, 1)",14.21819601,12.97894358,8.715961078
396,0,0,0,"(0, 0)",17.36699341,11.71460431,32.54673369
397,1,0,1,"(0, 1)",17.54218267,12.61814235,28.06971297
398,0,0,0,"(0, 0)",18.84167788,11.73066674,37.7408593
399,0,0,0,"(0, 0)",16.57549254,11.16217094,32.65858668
400,1,0,1,"(0, 1)",17.19994876,12.57520166,26.88814465
401,0,0,0,"(0, 0)",13.80188214,8.765235288,36.49246384
402,0,0,0,"(0, 0)",14.0206529,8.702214659,37.93288573
403,0,0,0,"(0, 0)",13.52857831,9.150817896,32.35935304
404,0,0,0,"(0, 0)",14.82542361,8.936378727,39.72260785
405,0,0,0,"(0, 0)",13.94302608,8.908836154,36.10543291
406,1,0,1,"(0, 1)",16.4171665,13.38570968,18.46516461
407,1,0,1,"(0, 1)",14.83259225,12.04889039,18.76746704
408,1,0,1,"(0, 1)",15.07984388,12.61828702,16.32349034
409,1,0,1,"(0, 1)",16.81020595,13.05292521,22.35118805
410,1,0,1,"(0, 1)",15.80282184,12.28920799,22.23409142
411,0,0,0,"(0, 0)",15.64198158,10.19843848,34.80085354
412,0,0,0,"(0, 0)",16.0790085,10.62703659,33.9073887
413,0,0,0,"(0, 0)",15.63952257,8.230488278,47.37378816
414,0,0,0,"(0, 0)",16.13957949,9.6115532,40.44731337
415,0,0,0,"(0, 0)",12.55022823,6.772666125,46.03551424
416,3,1,1,"(1, 1)",16.73320233,6.381836955,61.86123355
417,0,0,0,"(0, 0)",17.2014904,12.78583737,25.67017698
418,1,0,1,"(0, 1)",16.16571837,12.6839552,21.53794277
419,1,0,1,"(0, 1)",15.90735204,12.09811543,23.94639032
420,1,0,1,"(0, 1)",16.39368843,12.6074577,23.09566113
421,0,0,0,"(0, 0)",18.33599221,13.34730176,27.20709298
422,0,0,0,"(0, 0)",17.76582241,13.01214726,26.75741678
423,0,0,0,"(0, 0)",18.65154414,13.26584447,28.87535546
424,0,0,0,"(0, 0)",17.66534873,13.3185943,24.60610597
425,0,0,0,"(0, 0)",18.25384959,13.35023968,26.86342889
426,1,0,1,"(0, 1)",16.50065904,13.74586743,16.69503987
427,1,0,1,"(0, 1)",16.91700958,13.49605322,20.22199225
428,1,0,1,"(0, 1)",18.67276186,14.40951621,22.83136089
429,1,0,1,"(0, 1)",18.30590737,14.24726696,22.17120589
430,0,0,0,"(0, 0)",18.67895784,13.19286171,29.37046153
431,1,0,1,"(0, 1)",19.72904441,14.77100846,25.13064417
432,0,0,0,"(0, 0)",18.76386752,12.44426952,33.67961317
433,1,0,1,"(0, 1)",14.91475123,11.49194253,22.94915045
434,0,0,0,"(0, 0)",19.78638399,12.03367307,39.18205026
435,0,0,0,"(0, 0)",18.7986098,10.47261174,44.29049884
436,0,0,0,"(0, 0)",18.1703151,11.1154065,38.82656167
437,0,0,0,"(0, 0)",20.06835634,14.17902365,29.34636297
438,1,0,1,"(0, 1)",20.11118343,15.0339123,25.24600878
439,0,0,0,"(0, 0)",20.10640055,14.24742992,29.13982847
440,0,0,0,"(0, 0)",20.5322448,14.80113078,27.91274932
441,1,0,1,"(0, 1)",19.61395497,14.70730175,25.01613382
