candidate,mode,replicates,ARI_mean,ARI_median,ARI_p025,ARI_p975,ARI_min,actual_deleted_fraction
M014608,drop05,50,0.9959171739322218,1.0,0.9208952449367966,1.0,0.897929348305544,0.06736514734928056
M014608,drop10,50,0.9990022586233362,1.0,1.0,1.0,0.9501129311668092,0.09749591005290453
M014914,bootstrap90,50,0.7925965798336122,1.0,0.02189003497509761,1.0,-0.018867924528301886,
M014914,bootstrap95,50,0.7530186931689536,1.0,0.1006443420176055,1.0,0.0,
M014914,drop05,50,0.9296383891407755,1.0,0.26536104051427717,1.0,0.26536104051427717,0.06736514734928056
M014914,drop10,50,0.7667839243412226,0.89194300290263,0.2502718158108461,1.0,0.2056679808545616,0.09749591005290453
M015121,bootstrap90,50,0.881811784338741,1.0,0.1695589364990238,1.0,0.08435072142064373,
M015121,bootstrap95,50,0.9090342825420931,1.0,0.28550235472925584,1.0,0.08253094910591471,
M015121,drop05,50,0.9959185433256169,1.0,0.9489989089876502,1.0,0.897929348305544,0.06736514734928056
M015121,drop10,50,0.9436600712638,1.0,0.12902546563638567,1.0,0.12902546563638567,0.09749591005290453
M015670,bootstrap90,50,0.73207775976251,0.7800232260812262,0.33767875091935945,1.0,0.3267839801761377,
M015670,bootstrap95,50,0.6979032187541927,0.7500253250876958,0.35067363081150643,1.0,0.34280211844005776,
M015670,drop05,50,0.8083503984873276,0.7953163457362097,0.43656422379826637,1.0,0.43656422379826637,0.06736514734928056
M015670,drop10,50,0.8009877149362273,0.7953163457362097,0.43656422379826637,1.0,0.3828788438208766,0.09749591005290453
M015985,bootstrap90,50,0.98200460135237,1.0,0.8570975767474641,1.0,0.6454154727793696,
M015985,bootstrap95,50,0.9847227920619801,1.0,0.8368986580210547,1.0,0.830272765892641,
M015985,drop05,50,0.9829749393694422,1.0,0.9054163298302345,1.0,0.9054163298302345,0.06736514734928056
M015985,drop10,50,0.9886499595796281,1.0,0.9054163298302345,1.0,0.9054163298302345,0.09749591005290453
M016255,bootstrap90,50,0.9198849996975045,1.0,0.7727153033187772,1.0,0.0,
M016255,bootstrap95,50,0.8971272635739012,1.0,0.7141622386853727,1.0,-0.017543859649122806,
M016255,drop05,50,0.975408245755861,1.0,0.9054163298302345,1.0,0.9054163298302345,0.06736514734928056
M016255,drop10,50,0.9564915117219078,1.0,0.9054163298302345,1.0,0.9054163298302345,0.09749591005290453
M016309,bootstrap90,50,0.98200460135237,1.0,0.8570975767474641,1.0,0.6454154727793696,
M016309,bootstrap95,50,0.9847227920619801,1.0,0.8368986580210547,1.0,0.830272765892641,
M016309,drop05,50,0.9829749393694422,1.0,0.9054163298302345,1.0,0.9054163298302345,0.06736514734928056
M016309,drop10,50,0.9886499595796281,1.0,0.9054163298302345,1.0,0.9054163298302345,0.09749591005290453
M016471,bootstrap90,50,0.98200460135237,1.0,0.8570975767474641,1.0,0.6454154727793696,
M016471,bootstrap95,50,0.9847227920619801,1.0,0.8368986580210547,1.0,0.830272765892641,
M016471,drop05,50,0.9829749393694422,1.0,0.9054163298302345,1.0,0.9054163298302345,0.06736514734928056
M016471,drop10,50,0.9886499595796281,1.0,0.9054163298302345,1.0,0.9054163298302345,0.09749591005290453
M016633,bootstrap90,50,0.98200460135237,1.0,0.8570975767474641,1.0,0.6454154727793696,
M016633,bootstrap95,50,0.9847227920619801,1.0,0.8368986580210547,1.0,0.830272765892641,
M016633,drop05,50,0.9829749393694422,1.0,0.9054163298302345,1.0,0.9054163298302345,0.06736514734928056
M016633,drop10,50,0.9886499595796281,1.0,0.9054163298302345,1.0,0.9054163298302345,0.09749591005290453
M016795,bootstrap90,50,0.98200460135237,1.0,0.8570975767474641,1.0,0.6454154727793696,
M016795,bootstrap95,50,0.9847227920619801,1.0,0.8368986580210547,1.0,0.830272765892641,
M016795,drop05,50,0.9829749393694422,1.0,0.9054163298302345,1.0,0.9054163298302345,0.06736514734928056
M016795,drop10,50,0.9886499595796281,1.0,0.9054163298302345,1.0,0.9054163298302345,0.09749591005290453
M016957,bootstrap90,50,0.98200460135237,1.0,0.8570975767474641,1.0,0.6454154727793696,
M016957,bootstrap95,50,0.981338721908861,1.0,0.8307964923440411,1.0,0.830272765892641,
