candidate,window,mode,replicate,ARI,unique_curves,actual_deleted_fraction
M000596,coverage100,drop05,40,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,41,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,42,1.0,29,0.07742054724517441
M000596,coverage100,drop05,43,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,44,1.0,29,0.07742054724517441
M000596,coverage100,drop05,45,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,46,1.0,29,0.07742054724517441
M000596,coverage100,drop05,47,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,48,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,49,1.0,29,0.07742054724517441
M000596,coverage100,drop10,0,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,1,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,2,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,3,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,4,1.0,29,0.10315116564524755
M000596,coverage100,drop10,5,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,6,1.0,29,0.10315116564524755
M000596,coverage100,drop10,7,1.0,29,0.10315116564524755
M000596,coverage100,drop10,8,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,9,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,10,1.0,29,0.10315116564524755
M000596,coverage100,drop10,11,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,12,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,13,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,14,1.0,29,0.10315116564524755
M000596,coverage100,drop10,15,1.0,29,0.10315116564524755
M000596,coverage100,drop10,16,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,17,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,18,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,19,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,20,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,21,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,22,0.7569408067050812,29,0.10315116564524755
M000596,coverage100,drop10,23,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,24,1.0,29,0.10315116564524755
M000596,coverage100,drop10,25,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,26,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,27,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,28,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,29,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,30,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,31,0.7569408067050812,29,0.10315116564524755
M000596,coverage100,drop10,32,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,33,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,34,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,35,1.0,29,0.10315116564524755
M000596,coverage100,drop10,36,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,37,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,38,1.0,29,0.10315116564524755
M000596,coverage100,drop10,39,1.0,29,0.10315116564524755
M000596,coverage100,drop10,40,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,41,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,42,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,43,1.0,29,0.10315116564524755
M000596,coverage100,drop10,44,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,45,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,46,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,47,0.8703273117510284,29,0.10315116564524755
M000596,coverage100,drop10,48,0.7569408067050812,29,0.10315116564524755
M000596,coverage100,drop10,49,0.8703273117510284,29,0.10315116564524755
M001162,coverage100,bootstrap90,0,0.0,17,
M001162,coverage100,bootstrap90,1,0.3765281173594132,17,
M001162,coverage100,bootstrap90,2,0.47761194029850745,16,
M001162,coverage100,bootstrap90,3,1.0,20,
M001162,coverage100,bootstrap90,4,1.0,19,
M001162,coverage100,bootstrap90,5,1.0,17,
M001162,coverage100,bootstrap90,6,0.7577903682719547,19,
M001162,coverage100,bootstrap90,7,1.0,16,
M001162,coverage100,bootstrap90,8,0.3765281173594132,17,
M001162,coverage100,bootstrap90,9,1.0,17,
M001162,coverage100,bootstrap90,10,1.0,17,
M001162,coverage100,bootstrap90,11,0.6926229508196722,16,
M001162,coverage100,bootstrap90,12,1.0,15,
M001162,coverage100,bootstrap90,13,0.7007700770077008,17,
M001162,coverage100,bootstrap90,14,1.0,19,
M001162,coverage100,bootstrap90,15,0.7138873396542108,19,
M001162,coverage100,bootstrap90,16,0.5941644562334217,18,
M001162,coverage100,bootstrap90,17,1.0,15,
M001162,coverage100,bootstrap90,18,1.0,18,
M001162,coverage100,bootstrap90,19,0.7577903682719547,19,
M001162,coverage100,bootstrap90,20,1.0,18,
M001162,coverage100,bootstrap90,21,1.0,18,
M001162,coverage100,bootstrap90,22,1.0,20,
M001162,coverage100,bootstrap90,23,1.0,17,
M001162,coverage100,bootstrap90,24,1.0,16,
M001162,coverage100,bootstrap90,25,1.0,17,
M001162,coverage100,bootstrap90,26,1.0,18,
