curve_id,qc_status,qc_reason,n_points_original,pce_max,doi,figure_label,series_id,unit_label
x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/accepted/10.1002_cssc.201600887__Fig6__whole__stability__D-0_in_ambient_atm__Series_3.csv,included,,15.0,0.9718513151205798,10.1002/cssc.201600887,Fig6,Series_3,days
x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/accepted/10.1002_cssc.201600887__Fig6__whole__stability__−−D-0_in_glove_box__Series_1.csv,included,,14.0,0.9791124842420539,10.1002/cssc.201600887,Fig6,Series_1,days
x_time_day/10.1002_cssc.201600887/Fig7_D_photovoltaic_parameter/accepted/10.1002_cssc.201600887__Fig7__D__photovoltaic_parameter__D-0__Series_2.csv,included,,15.0,0.9757393866128621,10.1002/cssc.201600887,Fig7_D,Series_2,days
x_time_day/10.1002_cssc.201600887/Fig7_D_photovoltaic_parameter/accepted/10.1002_cssc.201600887__Fig7__D__photovoltaic_parameter__D-5__Series_3.csv,included,,15.0,0.9889775161131749,10.1002/cssc.201600887,Fig7_D,Series_3,days
x_time_day/10.1002_cssc.201700271/Fig5_C_stability_performance_curve_pce/accepted/10.1002_cssc.201700271__Fig5__C__stability_performance_curve_pce__Device_without_PVP__Series_2.csv,included,,17.0,11.498179470905487,10.1002/cssc.201700271,Fig5_C,Series_2,days
x_time_day/10.1002_cssc.201700603/Fig5_B_stability_performance_curve_pce/accepted/10.1002_cssc.201700603__Fig5__B__stability_performance_curve_pce__0__Series_4.csv,included,,26.0,14.59471920743543,10.1002/cssc.201700603,Fig5_B,Series_4,days
x_time_day/10.1002_cssc.201700603/Fig5_B_stability_performance_curve_pce/accepted/10.1002_cssc.201700603__Fig5__B__stability_performance_curve_pce__5__Series_1.csv,included,,26.0,10.96146431803362,10.1002/cssc.201700603,Fig5_B,Series_1,days
x_time_day/10.1002_cssc.201702265/Fig3_A_pce/accepted/10.1002_cssc.201702265__Fig3__A__pce__MAPbI₃_+_10%_F1_0.5_mmol__Series_1.csv,included,,33.0,1.0001121807680406,10.1002/cssc.201702265,Fig3_A,Series_1,days
x_time_day/10.1002_cssc.201702265/Fig3_A_pce/accepted/10.1002_cssc.201702265__Fig3__A__pce__Reference__Series_2.csv,included,,33.0,0.9990826800909627,10.1002/cssc.201702265,Fig3_A,Series_2,days
x_time_day/10.1002_cssc.201702265/Fig3_B_pce/accepted/10.1002_cssc.201702265__Fig3__B__pce__MAPbl+10%F20.5mmol3__Series_1.csv,included,,33.0,0.999645042563824,10.1002/cssc.201702265,Fig3_B,Series_1,days
x_time_day/10.1002_cssc.201702265/Fig3_B_pce/accepted/10.1002_cssc.201702265__Fig3__B__pce__MAPbl+10%F3_0.5mmol3__Series_3.csv,included,,33.0,1.001016345836044,10.1002/cssc.201702265,Fig3_B,Series_3,days
x_time_day/10.1002_cssc.201702265/Fig3_B_pce/accepted/10.1002_cssc.201702265__Fig3__B__pce__Reference__Series_2.csv,included,,33.0,0.9982737392916043,10.1002/cssc.201702265,Fig3_B,Series_2,days
x_time_day/10.1002_cssc.201702265/Fig3_C_pce/accepted/10.1002_cssc.201702265__Fig3__C__pce__MAPbI₃_+_10%_C₆₀__Series_3.csv,included,,19.0,0.9976587101196973,10.1002/cssc.201702265,Fig3_C,Series_3,days
x_time_day/10.1002_cssc.201702265/Fig3_C_pce/accepted/10.1002_cssc.201702265__Fig3__C__pce__MAPbI₃_+_5%_C₆₀__Series_1.csv,included,,20.0,0.998299457395049,10.1002/cssc.201702265,Fig3_C,Series_1,days
x_time_day/10.1002_cssc.201702265/Fig3_C_pce/accepted/10.1002_cssc.201702265__Fig3__C__pce__Reference__Series_2.csv,included,,17.0,0.9880475009894221,10.1002/cssc.201702265,Fig3_C,Series_2,days
x_time_day/10.1002_cssc.201902165/Fig6_B_stability_performance_curve_pce_mapping/accepted/10.1002_cssc.201902165__Fig6__B__stability_performance_curve_pce_mapping__TiO2_NPs__Series_2.csv,included,,17.0,0.9888340531603093,10.1002/cssc.201902165,Fig6_B,Series_2,days
x_time_day/10.1002_cssc.201903025/Fig7_A_stability_performance_curve_pce/accepted/10.1002_cssc.201903025__Fig7__A__stability_performance_curve_pce__NiO_NCs__Series_1.csv,included,,17.0,0.9981727758346977,10.1002/cssc.201903025,Fig7_A,Series_1,days
