variant_id,window_hours,cohort,representation,n,dimensions,accepted_input_total,retention_fraction,primary_window_eligible,smoothing_applied,labels_used,elbow_k,elbow_strength,inertia_at_elbow,silhouette_at_elbow,seed_ari_at_elbow,subsample_ari_to_full,min_cluster_fraction_at_elbow,passes_support,rank_silhouette_at_elbow,rank_subsample_ari_to_full,rank_seed_ari_at_elbow,rank_elbow_strength,rank_min_cluster_fraction_at_elbow,rank_n,kmeans_rank_sum,selected_for_som
w0150_detail_z_level_d1,150,detail,z_level_d1,1103,127,2104,0.5242395437262357,False,False,False,4,0.3722725174815905,385.1114385441555,0.24702657691269095,0.9010213382145313,0.9321497634964226,0.04170444242973708,False,,,,,,,,False
w0150_detail_z_level_d1_d2,150,detail,z_level_d1_d2,1103,189,2104,0.5242395437262357,False,False,False,5,0.33584508085037235,1422.6700133515442,0.05543046125638844,0.6966548590432868,0.7964194056989574,0.044424297370806894,False,,,,,,,,False
w0150_dense_maxabs_level,150,dense,maxabs_level,422,64,2104,0.2005703422053232,False,False,False,4,0.45842542554759835,91.70041505480846,0.47195629792405186,0.919988245434159,0.839653859034217,0.08293838862559241,False,,,,,,,,False
w0150_dense_z_level,150,dense,z_level,422,64,2104,0.2005703422053232,False,False,False,4,0.43462648242407875,1381.3792901027737,0.2975821164650091,0.7089489685131044,0.47369384718583396,0.02132701421800948,False,,,,,,,,False
w0150_dense_z_level_d1,150,dense,z_level_d1,422,127,2104,0.2005703422053232,False,False,False,5,0.35865404325216654,120.49902373497929,0.17668649184216714,0.6444195787385723,0.34581505695861203,0.02132701421800948,False,,,,,,,,False
w0150_dense_z_level_d1_d2,150,dense,z_level_d1_d2,422,189,2104,0.2005703422053232,False,False,False,5,0.2744611176178918,521.8963274348022,0.0559025115120441,0.5899863200606733,0.6236011581143405,0.04265402843601896,False,,,,,,,,False
w0200_coverage_maxabs_level,200,coverage,maxabs_level,1770,64,2104,0.841254752851711,False,False,False,4,0.49508052038964245,265.48001501742056,0.5706062983429397,0.9946701893404528,0.9448792370469532,0.04011299435028248,False,,,,,,,,False
w0200_coverage_z_level,200,coverage,z_level,1770,64,2104,0.841254752851711,False,False,False,5,0.3622720207920245,7991.823535159207,0.36358016132789894,0.9595512506829211,0.8901601360639735,0.03389830508474576,False,,,,,,,,False
w0200_coverage_z_level_d1,200,coverage,z_level_d1,1770,127,2104,0.841254752851711,False,False,False,4,0.3675542086532677,632.9596197877624,0.24435274135639104,0.9059997714036385,0.9407200236176887,0.061581920903954805,False,,,,,,,,False
w0200_coverage_z_level_d1_d2,200,coverage,z_level_d1_d2,1770,189,2104,0.841254752851711,False,False,False,4,0.3523118225717944,2363.0610558429426,0.07578579842610736,0.9152281158207985,0.8887124184837312,0.06497175141242938,False,,,,,,,,False
w0200_detail_maxabs_level,200,detail,maxabs_level,1269,64,2104,0.6031368821292775,False,False,False,4,0.48316218158159585,226.0668674956063,0.5307298977568273,0.9799856795897772,0.9652859575571959,0.05358550039401103,False,,,,,,,,False
w0200_detail_z_level,200,detail,z_level,1269,64,2104,0.6031368821292775,False,False,False,5,0.36938467175988277,5453.250720730094,0.34702818327610785,0.8565894204948192,0.9246609070609347,0.0252167060677699,False,,,,,,,,False
w0200_detail_z_level_d1,200,detail,z_level_d1,1269,127,2104,0.6031368821292775,False,False,False,4,0.3660928687493681,462.04401632898504,0.2110767876913056,0.8666720425840237,0.8837753931808008,0.046493301812450746,False,,,,,,,,False
w0200_detail_z_level_d1_d2,200,detail,z_level_d1_d2,1269,189,2104,0.6031368821292775,False,False,False,4,0.3365640748538312,1701.1416516420493,0.06378073321846173,0.9273220938685232,0.8765969060871905,0.046493301812450746,False,,,,,,,,False
w0200_dense_maxabs_level,200,dense,maxabs_level,522,64,2104,0.24809885931558937,False,False,False,4,0.46673733534424067,107.24463575077715,0.4874481266900928,1.0,0.9625218832189457,0.07662835249042145,False,,,,,,,,False
w0200_dense_z_level,200,dense,z_level,522,64,2104,0.24809885931558937,False,False,False,4,0.4011204516500425,2229.376780003069,0.3180226561303369,0.8689901028919758,0.8097858721282826,0.03065134099616858,False,,,,,,,,False
w0200_dense_z_level_d1,200,dense,z_level_d1,522,127,2104,0.24809885931558937,False,False,False,5,0.3450099817638792,170.549138265139,0.19273748857821382,0.887431552481672,0.7691331312700135,0.03065134099616858,False,,,,,,,,False
w0200_dense_z_level_d1_d2,200,dense,z_level_d1_d2,522,189,2104,0.24809885931558937,False,False,False,5,0.26937127761765034,673.4501967184998,0.056539666976406125,0.5107846997929956,0.5841209972541503,0.032567049808429116,False,,,,,,,,False
