curve_id,shape_guided,feature_kmeans,feature_gmm,feature_ward
10.1002_aenm.201903751_Fig5_D_stability_performance_curve_pce_81fe7b1baf,IFO-Valley,IFO-Slope,IFO-Valley,IFO-Slope
10.1002_aenm.202000694_Fig5_E_stability_performance_curve_pce_b0f247e932,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_aenm.202000967_Fig4_A_stability_performance_curve_pce_3a4576a0a2,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.202000967_Fig4_A_stability_performance_curve_pce_c4f7f03108,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.202001869_Fig8_C_stability_performance_curve_8bf5a265b0,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_aenm.202001869_Fig8_C_stability_performance_curve_e6cad1ed8d,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_aenm.202001920_Fig3_A_stability_performance_curve_pattern_eaef803871,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.202002004_Fig5_F_stability_performance_curve_06bd6f5807,IFO-Bridge,IFO-Hill,IFO-Bridge,IFO-Valley
10.1002_aenm.202002882_Fig5_C_stability_performance_curve_pce_0a5e5f2f98,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.202002882_Fig5_C_stability_performance_curve_pce_41868c1b1c,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.202002882_Fig5_C_stability_performance_curve_pce_da1ed7d412,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_aenm.202002966_Fig5_F_stability_performance_curve_pce_85fe42f6c1,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_aenm.202100529_Fig6_I_stability_performance_curve_pce_ca10f36078,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_aenm.202101291_Fig5_G_stability_performance_curve_pce_4d1f773c0e,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_aenm.202101416_Fig4_F_stability_performance_curve_d2620b11fc,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_aenm.202101539_Fig4_F_stability_performance_curve_pce_ebde947d51,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.202302169_Fig5_A_stability_performance_curve_spectrum_1343c19f48,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_anie.201800816_Fig2_D_jv_curve_stability_performance_d63bedecf0,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_anie.201806392_Fig3_H_stability_performance_curve_ac60f8339b,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_anie.201806392_Fig3_H_stability_performance_curve_d5e27954b8,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_anie.201905690_Fig1_F_stability_performance_curve_pce_1b96d9882d,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_anie.201911796_Fig4_C_stability_performance_curve_pce_40158b371e,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_anie.202004256_Fig4_F_stability_performance_curve_voc_19cad3a7b8,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_anie.202007353_Fig3_F_stability_performance_curve_pce_27ffdd3806,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_anie.202007353_Fig3_F_stability_performance_curve_pce_6b5a0274eb,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_anie.202012095_Fig5_E_stability_performance_curve_pce_148a53e15a,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_anie.202105512_Fig4_D_stability_performance_curve_pce_photovoltaic_parameter_7c8cccbb82,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_anie.202301234_Fig3_E_stability_performance_curve_378f1a01b3,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1002_anie.202410069_Fig4_G_stability_performance_curve_pce_f74682a4f8,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_anie.202505470_Fig6_E_stability_performance_curve_2b4153c932,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_chem.201703382_Fig5_A_stability_performance_curve_pce_06867b662b,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_chem.201703382_Fig5_A_stability_performance_curve_pce_7efba27ea0,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_chem.201703382_Fig5_A_stability_performance_curve_pce_f39831d0d4,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_chem.201703382_Fig5_A_stability_performance_curve_pce_ff44652b7b,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_chem.201704181_Fig5_D_stability_performance_curve_pce_6b13514857,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Hill
10.1002_cjoc.201800469_Fig5_A_stability_performance_curve_pce_e0c8110150,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_cssc.201501392_Fig5_whole_stability_0443f8a688,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_cssc.201600860_Fig11_A_stability_performance_curve_pce_14807427bb,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_cssc.201600887_Fig6_whole_stability_b01e6da304,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_cssc.201600887_Fig6_whole_stability_d63540c8e3,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_cssc.201600887_Fig7_D_photovoltaic_parameter_77e8f21c66,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_cssc.201600887_Fig7_D_photovoltaic_parameter_f53816348f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_cssc.201700271_Fig5_C_stability_performance_curve_pce_883baff1bb,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_cssc.201702265_Fig3_C_pce_371fda7471,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_cssc.201702265_Fig3_C_pce_b01e92943d,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_cssc.201800658_Fig6_C_stability_performance_curve_pce_e31e618887,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_cssc.201802421_Fig5_whole_figure_8aa4b4278d,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_cssc.201900106_Fig6_A_stability_performance_curve_pce_8f778de71c,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_cssc.201900509_Fig7_C_stability_da03c7c13b,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_cssc.201903025_Fig7_A_stability_performance_curve_pce_4e13ef3034,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_cssc.201903025_Fig7_A_stability_performance_curve_pce_7cd9bd8fca,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_cssc.201903025_Fig7_A_stability_performance_curve_pce_eb1ca812ac,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_cssc.202001350_Fig8_B_jv_curve_stability_performance_pce_8a0338fbb2,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Valley
10.1002_cssc.202001527_Fig5_A_jsc_6672b8d6d7,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_cssc.202001527_Fig5_A_jsc_be875cd445,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_cssc.202001527_Fig5_A_jsc_e2bd72eafc,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_cssc.202001629_Fig4_F_eis_plot_stability_performance_curve_pce_a9c0d9c5ad,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
