curve_id,kept_index,doi,doi_dir,top_dir,figure_folder,figure_label,series_id,legend_hint,csv_path,abs_max_pce,delta_pce_rel_pct,max_pce_bin,max_pce_bin_absolute,max_pce_source
675,658,10.1002/adfm.202501623,10.1002_adfm.202501623,x_time_h,Fig5_B_stability_performance_curve,Fig5_B,Series_1,o—Control,x_time_h/10.1002_adfm.202501623/Fig5_B_stability_performance_curve/accepted/10.1002_adfm.202501623__Fig5__B__stability_performance_curve__o—Control__Series_1.csv,1.0052475331368749,16.318649291992188,Q4,n/a,pre-normalised
676,659,10.1002/adma.201503729,10.1002_adma.201503729,x_time_h,Fig4_A_stability_performance_curve_retention,Fig4_A,Series_2,Spiro-OMeTAD,x_time_h/10.1002_adma.201503729/Fig4_A_stability_performance_curve_retention/accepted/10.1002_adma.201503729__Fig4__A__stability_performance_curve_retention__Spiro-OMeTAD__Series_2.csv,14.646032631505564,22.377788543701172,Q5,Q2,absolute
681,664,10.1002/adma.201707143,10.1002_adma.201707143,x_time_h,Fig4_D_stability,Fig4_D,Series_1,Series_1,x_time_h/10.1002_adma.201707143/Fig4_D_stability/accepted/10.1002_adma.201707143__Fig4__D__stability__Series_1__Series_1.csv,0.9081862387583925,15.20523452758789,Q1,n/a,pre-normalised
684,667,10.1002/adma.201801948,10.1002_adma.201801948,x_time_h,Fig8_C_stability,Fig8_C,Series_1,w_o_post-treatment,x_time_h/10.1002_adma.201801948/Fig8_C_stability/accepted/10.1002_adma.201801948__Fig8__C__stability__w_o_post-treatment__Series_1.csv,0.9656356084821156,23.114669799804688,Q1,n/a,pre-normalised
685,668,10.1002/adma.201801948,10.1002_adma.201801948,x_time_h,Fig8_C_stability,Fig8_C,Series_2,w_FAPFpost-treatment6,x_time_h/10.1002_adma.201801948/Fig8_C_stability/accepted/10.1002_adma.201801948__Fig8__C__stability__w_FAPFpost-treatment6__Series_2.csv,0.9858484715515069,17.228614807128906,Q1,n/a,pre-normalised
688,671,10.1002/adma.201805323,10.1002_adma.201805323,x_time_h,Fig4_F_stability_performance_curve_pce,Fig4_F,Series_1,X=0,x_time_h/10.1002_adma.201805323/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adma.201805323__Fig4__F__stability_performance_curve_pce__X=0__Series_1.csv,0.9827577689945894,22.515409469604492,Q1,n/a,pre-normalised
704,687,10.1002/adma.202001470,10.1002_adma.202001470,x_time_h,Fig5_G_stability_performance_curve_pattern,Fig5_G,Series_2,FAPbI₃,x_time_h/10.1002_adma.202001470/Fig5_G_stability_performance_curve_pattern/accepted/10.1002_adma.202001470__Fig5__G__stability_performance_curve_pattern__FAPbI₃__Series_2.csv,1.002110500628581,16.613037109375,Q3,n/a,pre-normalised
706,689,10.1002/adma.202001470,10.1002_adma.202001470,x_time_h,Fig5_H_stability_performance_curve_pattern,Fig5_H,Series_2,Control,x_time_h/10.1002_adma.202001470/Fig5_H_stability_performance_curve_pattern/accepted/10.1002_adma.202001470__Fig5__H__stability_performance_curve_pattern__Control__Series_2.csv,0.9982046389603705,17.288530349731445,Q2,n/a,pre-normalised
708,691,10.1002/adma.202003965,10.1002_adma.202003965,x_time_h,Fig6_A_stability_performance_curve_pce,Fig6_A,Series_2,Eth-PSCs,x_time_h/10.1002_adma.202003965/Fig6_A_stability_performance_curve_pce/accepted/10.1002_adma.202003965__Fig6__A__stability_performance_curve_pce__Eth-PSCs__Series_2.csv,1.100706004236981,30.69063949584961,Q5,n/a,pre-normalised
709,692,10.1002/adma.202004979,10.1002_adma.202004979,x_time_h,Fig2_F_eqe_mapping_stability_performance_curve_pce,Fig2_F,Series_2,Control,x_time_h/10.1002_adma.202004979/Fig2_F_eqe_mapping_stability_performance_curve_pce/accepted/10.1002_adma.202004979__Fig2__F__eqe_mapping_stability_performance_curve_pce__Control__Series_2.csv,0.996792395798875,30.623001098632812,Q2,n/a,pre-normalised
715,698,10.1002/adma.202007431,10.1002_adma.202007431,x_time_h,Fig4_F_stability_performance_curve_pce,Fig4_F,Series_2,spiro-MeOTAD,x_time_h/10.1002_adma.202007431/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adma.202007431__Fig4__F__stability_performance_curve_pce__spiro-MeOTAD__Series_2.csv,20.775235745932974,22.56307601928711,Q5,Q4,absolute
717,700,10.1002/adma.202101823,10.1002_adma.202101823,x_time_h,Fig6_D_stability_performance_curve_pce,Fig6_D,Series_3,Reference,x_time_h/10.1002_adma.202101823/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adma.202101823__Fig6__D__stability_performance_curve_pce__Reference__Series_3.csv,0.9759327072010291,28.890817642211914,Q1,n/a,pre-normalised
722,705,10.1002/adma.202302839,10.1002_adma.202302839,x_time_h,Fig2_G_stability_performance_curve,Fig2_G,Series_2,Control,x_time_h/10.1002_adma.202302839/Fig2_G_stability_performance_curve/accepted/10.1002_adma.202302839__Fig2__G__stability_performance_curve__Control__Series_2.csv,0.9991265111754518,20.44224739074707,Q2,n/a,pre-normalised
731,714,10.1002/admi.201800645,10.1002_admi.201800645,x_time_h,Fig5_whole_mppt_stability,Fig5,Series_2,W_o_5-AVA,x_time_h/10.1002_admi.201800645/Fig5_whole_mppt_stability/accepted/10.1002_admi.201800645__Fig5__whole__mppt_stability__W_o_5-AVA__Series_2.csv,0.9824970114857742,21.056169509887695,Q1,n/a,pre-normalised
