k,cluster_a,cluster_b,center_distance,within_radius_sum,separation_to_spread
11,2,10,0.39598208198331714,0.24082579679823019,1.6442677123791714
11,2,11,0.5048047970094302,0.24399050203716416,2.068952655101875
11,3,4,0.21958642811446924,0.2510380990473549,0.8747135552243297
11,3,5,0.20050860245573815,0.2170285470361564,0.923881236795701
11,3,6,0.3327252741291855,0.2956842550003802,1.1252722067624388
11,3,7,0.35793051921431634,0.2225204664124694,1.6085285321613858
11,3,8,0.25616171673619725,0.23104456088568767,1.1087113055344187
11,3,9,0.2166977713508697,0.24439155623369047,0.8866827262381374
11,3,10,0.25607581512156646,0.2496442970503373,1.025762727797993
11,3,11,0.42629887430771585,0.2528090022892713,1.6862487903810186
11,4,5,0.14683795324532967,0.1381893880619604,1.0625848721429425
11,4,6,0.45707543229940123,0.21684509602618424,2.1078430671275545
11,4,7,0.510638135087551,0.1436813074382734,3.5539635892228016
11,4,8,0.36244336320540427,0.15220540191149168,2.3812779221605234
11,4,9,0.2702379775217025,0.1655523972594945,1.6323410714380593
11,4,10,0.4223310558402253,0.17080513807614134,2.472589879889673
11,4,11,0.6034472644776526,0.17396984331507528,3.468688900206425
11,5,6,0.3930415560583437,0.18283554401498572,2.1496999293864265
11,5,7,0.3924122989867271,0.10967175542707491,3.5780616208669835
11,5,8,0.23308995487845136,0.11819584990029319,1.972065475015237
11,5,9,0.13158422659954766,0.13154284524829601,1.0003145845840078
11,5,10,0.3182700610519779,0.13679558606494285,2.3266106035093936
11,5,11,0.500427522863049,0.13996029130387677,3.5754964368896514
11,6,7,0.2718114725469731,0.18832746339129872,1.4432917411637136
11,6,8,0.2721712806119081,0.196851557864517,1.382621928749123
11,6,9,0.3321788281746378,0.2101985532125198,1.5803097742484968
11,6,10,0.2550341535568553,0.21545129402916663,1.1837206859492344
11,6,11,0.3046723013110726,0.2186159992681006,1.3936413726857955
11,7,8,0.16555891562396424,0.12368776927660619,1.33852293231775
11,7,9,0.27441589184150866,0.13703476462460898,2.0025275527216726
11,7,10,0.11246476122212015,0.14228750544125582,0.790405038540449
11,7,11,0.13176560009112234,0.14545221068018976,0.9059030417959023
11,8,9,0.11150944498573506,0.1455588590978273,0.7660780365885647
11,8,10,0.13396082651520283,0.15081159991447413,0.8882660656817682
11,8,11,0.28789156227198376,0.15397630515340804,1.8697134080802542
