k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,norm
15,0.3,0.1,47,5000,3x5,0.07736971575410148,15,0.2224127013230821,0.43577981651376146,minmax
16,0.3,0.1,11,5000,4x4,0.07759086053800456,16,0.2195358088456083,0.5275229357798165,minmax
16,0.3,0.1,29,5000,4x4,0.07551248269612636,16,0.21762696382454522,0.7752293577981652,minmax
16,0.3,0.1,47,5000,4x4,0.07582561004987126,16,0.20548205275240444,0.6926605504587156,minmax
1,0.3,0.3,11,5000,1x1,0.19340388655408539,1,,,minmax
1,0.3,0.3,29,5000,1x1,0.20263942030516116,1,,,minmax
1,0.3,0.3,47,5000,1x1,0.19114413456713372,1,,,minmax
2,0.3,0.3,11,5000,1x2,0.16381654038402987,2,0.4635069510915491,0.0,minmax
2,0.3,0.3,29,5000,1x2,0.15695019505378402,2,0.4333841883866412,0.0,minmax
2,0.3,0.3,47,5000,1x2,0.1493288169697952,2,0.38364625492538984,0.0,minmax
3,0.3,0.3,11,5000,1x3,0.12723260095343114,3,0.3502575864401784,0.6376146788990825,minmax
3,0.3,0.3,29,5000,1x3,0.1279162130365088,3,0.3605790521873336,0.7247706422018348,minmax
3,0.3,0.3,47,5000,1x3,0.13022542555092087,3,0.3608109536987825,0.30275229357798167,minmax
4,0.3,0.3,11,5000,2x2,0.11198058722800658,4,0.3376575751512113,0.0,minmax
4,0.3,0.3,29,5000,2x2,0.11124087106732383,4,0.3319288202563367,0.0,minmax
4,0.3,0.3,47,5000,2x2,0.11191026946053956,4,0.3359825937043327,0.0,minmax
5,0.3,0.3,11,5000,1x5,0.1059000571685634,5,0.3458540423227916,0.926605504587156,minmax
5,0.3,0.3,29,5000,1x5,0.10641018067643161,5,0.3430791549589,0.9587155963302753,minmax
5,0.3,0.3,47,5000,1x5,0.10943165168025043,5,0.3370597038810304,0.9541284403669725,minmax
6,0.3,0.3,11,5000,2x3,0.10372078947222721,6,0.3394648010348287,0.10550458715596331,minmax
6,0.3,0.3,29,5000,2x3,0.10068142938492677,6,0.27126962711369623,0.3348623853211009,minmax
6,0.3,0.3,47,5000,2x3,0.0993310828536695,6,0.2720025340147495,0.06422018348623854,minmax
7,0.3,0.3,11,5000,1x7,0.09878349486087407,7,0.273034407246781,0.7522935779816514,minmax
7,0.3,0.3,29,5000,1x7,0.0974165566824902,7,0.2713183177952698,0.44954128440366975,minmax
7,0.3,0.3,47,5000,1x7,0.09755938417985306,7,0.2791043807312553,0.42201834862385323,minmax
8,0.3,0.3,11,5000,2x4,0.09376385948767996,8,0.2801589253300597,0.28440366972477066,minmax
8,0.3,0.3,29,5000,2x4,0.09487435720228826,8,0.2547135864063039,0.3348623853211009,minmax
8,0.3,0.3,47,5000,2x4,0.09301315756747201,8,0.23812533663051888,0.25229357798165136,minmax
9,0.3,0.3,11,5000,3x3,0.09061737524832868,9,0.2577757874341879,0.26605504587155965,minmax
9,0.3,0.3,29,5000,3x3,0.09097738119465361,9,0.2534003244146276,0.2706422018348624,minmax
9,0.3,0.3,47,5000,3x3,0.09135011580546287,9,0.28890856894534084,0.8348623853211009,minmax
10,0.3,0.3,11,5000,2x5,0.09161633776123515,10,0.27636679252088214,0.2706422018348624,minmax
10,0.3,0.3,29,5000,2x5,0.08883789939866045,10,0.25832633742072453,0.6605504587155964,minmax
10,0.3,0.3,47,5000,2x5,0.0885102153028431,10,0.25706361057155763,0.7155963302752294,minmax
11,0.3,0.3,11,5000,1x11,0.084087321536921,11,0.25745182645828185,0.7568807339449541,minmax
11,0.3,0.3,29,5000,1x11,0.08755045936321172,11,0.25455493749271463,0.981651376146789,minmax
11,0.3,0.3,47,5000,1x11,0.08797443050649831,11,0.2624241036730951,0.981651376146789,minmax
12,0.3,0.3,11,5000,3x4,0.08610350706648581,12,0.2533805681884775,0.4036697247706422,minmax
12,0.3,0.3,29,5000,3x4,0.08497378121512465,12,0.25750729928746635,0.5642201834862385,minmax
12,0.3,0.3,47,5000,3x4,0.08679787789227442,12,0.2578149711775199,0.41284403669724773,minmax
