k,sigma,seed,qe_elastic,occupied,silhouette_elastic,method,assigned_l2_centroid_error,silhouette_l2
13,0.5,29,0.026130811111058104,13,-0.044033523040674136,dtw_0,0.11999166927294387,-0.052096942244905055
13,0.5,47,0.025816071241793075,13,-0.03097826943172068,dtw_0,0.12058829230148457,-0.03301437420403289
13,0.5,71,0.025905797315911267,13,0.00640443012067949,dtw_0,0.11880985501043467,-0.03068373052527303
13,0.5,101,0.026081337123296855,13,-0.016889462354560222,dtw_0,0.1167012589884243,1.1200303701025792e-05
14,0.5,11,0.02585706209684274,14,-0.01290687602730961,dtw_0,0.12043678968846235,-0.05309128261630667
14,0.5,29,0.027052512455590923,14,-0.04173016565384601,dtw_0,0.1184819938883221,-0.05301900683725647
14,0.5,47,0.026761299169356077,14,-0.07270367169697087,dtw_0,0.11511899209093665,-0.09391620639565035
14,0.5,71,0.027570101802813184,14,-0.07920172852642832,dtw_0,0.12124595028819866,-0.06804564561332557
14,0.5,101,0.026944571587782715,14,-0.046434496947432215,dtw_0,0.11610795007814838,-0.03515330297516403
15,0.5,11,0.026965648570255265,15,-0.09193766311192113,dtw_0,0.1160233629001303,-0.07350694811901316
15,0.5,29,0.02560994588567998,15,-0.03634247010107394,dtw_0,0.11769767127600318,-0.05636142034941692
15,0.5,47,0.02696456456689343,15,-0.0772881691145462,dtw_0,0.11388986730469103,-0.0507850270929848
15,0.5,71,0.026600729945841384,15,-0.030945977410536035,dtw_0,0.11790613452998262,-0.06620352510042067
15,0.5,101,0.02536597581754517,15,0.07080673439077464,dtw_0,0.11496022148875945,0.023201693113437952
16,0.5,11,0.02760650183272113,16,-0.08105820729727083,dtw_0,0.11180880932895819,-0.09493638023763715
16,0.5,29,0.025248548212200784,16,-0.07923276042331392,dtw_0,0.1164254488898634,-0.09647644309562528
16,0.5,47,0.027093904482173675,16,-0.09294054602758382,dtw_0,0.1183233001103493,-0.0698743388245082
16,0.5,71,0.026671462349365252,16,-0.07084935705623589,dtw_0,0.11451218601220588,-0.1024547615313066
16,0.5,101,0.02586161411033245,16,-0.05864790412193207,dtw_0,0.11536006577423066,-0.1058546734424437
1,0.8,11,0.05165368412402472,1,,dtw_0,0.1945852055076173,
1,0.8,29,0.05165368412402472,1,,dtw_0,0.1945852055076173,
1,0.8,47,0.05165368412402472,1,,dtw_0,0.1945852055076173,
1,0.8,71,0.05165368412402472,1,,dtw_0,0.1945852055076173,
1,0.8,101,0.05165368412402472,1,,dtw_0,0.1945852055076173,
2,0.8,11,0.04589035437793685,2,0.06867932478328402,dtw_0,0.1680067184442668,0.195030795878698
2,0.8,29,0.04589035437793685,2,0.06867932478328402,dtw_0,0.1680067184442668,0.195030795878698
2,0.8,47,0.04589035437793685,2,0.06867932478328402,dtw_0,0.1680067184442668,0.195030795878698
2,0.8,71,0.04589035437793685,2,0.06867932478328402,dtw_0,0.1680067184442668,0.195030795878698
2,0.8,101,0.04589035437793685,2,0.06867932478328402,dtw_0,0.1680067184442668,0.195030795878698
3,0.8,11,0.03401635204039843,3,0.12611555637882615,dtw_0,0.14426506906276698,0.22425883791444054
3,0.8,29,0.033901850160874845,3,0.13789480070151983,dtw_0,0.1482354476151583,0.1961813269020211
3,0.8,47,0.03401635204039843,3,0.12611555637882615,dtw_0,0.14426506906276698,0.22425883791444054
3,0.8,71,0.03401635204039843,3,0.12611555637882615,dtw_0,0.14426506906276698,0.22425883791444054
3,0.8,101,0.033901850160874845,3,0.13789480070151983,dtw_0,0.1482354476151583,0.1961813269020211
4,0.8,11,0.03342521508706495,4,0.06573273278807543,dtw_0,0.14771602838508063,0.09249656728410066
