k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,norm
14,0.5,0.3,11,50000,2x7,0.029477241406090298,14,0.3980783036929305,0.11926605504587157,maxabs
14,0.5,0.3,29,50000,2x7,0.02908981508942182,13,0.4498380523157872,0.022935779816513763,maxabs
14,0.5,0.3,47,50000,2x7,0.028606461648239538,13,0.3554012916136274,0.06880733944954129,maxabs
14,0.5,0.3,71,50000,2x7,0.028271995989449152,14,0.4086960061550027,0.05045871559633028,maxabs
14,0.5,0.3,101,50000,2x7,0.02688346760210732,14,0.35607459319800644,0.12385321100917432,maxabs
15,0.5,0.3,11,50000,3x5,0.02718357898746881,15,0.3603386636435822,0.4036697247706422,maxabs
15,0.5,0.3,29,50000,3x5,0.026214048427136025,15,0.35477787447076464,0.07339449541284404,maxabs
15,0.5,0.3,47,50000,3x5,0.02639926404381058,15,0.34932989726002556,0.10550458715596331,maxabs
15,0.5,0.3,71,50000,3x5,0.028448553965267093,14,0.39838663945306035,0.22018348623853212,maxabs
15,0.5,0.3,101,50000,3x5,0.02574753353387478,15,0.360187151666192,0.26605504587155965,maxabs
16,0.5,0.3,11,50000,4x4,0.026328407634061593,16,0.36335765466081205,0.06880733944954129,maxabs
16,0.5,0.3,29,50000,4x4,0.025335667844532676,16,0.3708608127229282,0.0871559633027523,maxabs
16,0.5,0.3,47,50000,4x4,0.025472038394440795,16,0.3728078813501791,0.13761467889908258,maxabs
16,0.5,0.3,71,50000,4x4,0.025020342114224353,16,0.32928623875153784,0.15137614678899083,maxabs
16,0.5,0.3,101,50000,4x4,0.025747213070337012,16,0.3645262151885629,0.27522935779816515,maxabs
1,1.0,0.1,11,50000,1x1,0.46905020568006894,1,,,zscore
1,1.0,0.1,29,50000,1x1,0.47848396913171,1,,,zscore
1,1.0,0.1,47,50000,1x1,0.4735304705622441,1,,,zscore
1,1.0,0.1,71,50000,1x1,0.48721012953632115,1,,,zscore
1,1.0,0.1,101,50000,1x1,0.48998902929542254,1,,,zscore
2,1.0,0.1,11,50000,1x2,0.4082176495908235,2,0.5726576214947893,0.0,zscore
2,1.0,0.1,29,50000,1x2,0.4016136167802787,2,0.5726576214947893,0.0,zscore
2,1.0,0.1,47,50000,1x2,0.39531807038465927,2,0.583014852254368,0.0,zscore
2,1.0,0.1,71,50000,1x2,0.39756601623710836,2,0.5726576214947893,0.0,zscore
2,1.0,0.1,101,50000,1x2,0.39603660574707894,2,0.5726576214947893,0.0,zscore
3,1.0,0.1,11,50000,1x3,0.34700802111319184,3,0.24305665114367006,0.009174311926605505,zscore
3,1.0,0.1,29,50000,1x3,0.3541402618162301,3,0.255312543831135,0.013761467889908258,zscore
3,1.0,0.1,47,50000,1x3,0.349819266336266,3,0.2577699409109521,0.013761467889908258,zscore
3,1.0,0.1,71,50000,1x3,0.345283938813359,3,0.26827133309397055,0.01834862385321101,zscore
3,1.0,0.1,101,50000,1x3,0.34803377148914455,3,0.2616304511523165,0.013761467889908258,zscore
4,1.0,0.1,11,50000,2x2,0.33170038871546137,4,0.2518277591060187,0.0,zscore
4,1.0,0.1,29,50000,2x2,0.3242898955063658,4,0.23546321303849918,0.0,zscore
4,1.0,0.1,47,50000,2x2,0.32181473329105204,4,0.23812246824801964,0.0,zscore
4,1.0,0.1,71,50000,2x2,0.3311769800631587,4,0.25364467376208144,0.0,zscore
4,1.0,0.1,101,50000,2x2,0.3304685298555838,4,0.26923479963977603,0.0,zscore
5,1.0,0.1,11,50000,1x5,0.3160289550498693,5,0.2476432446942841,0.01834862385321101,zscore
