id_a,id_b,cluster,DTW
C106,C015,1,0.2739057373441603
C106,C016,1,0.8739906900275596
C106,C017,1,0.6540281837109391
C106,C018,1,0.18820540287570547
C106,C019,1,0.1260428350776438
C106,C025,1,0.3554804891766379
C106,C028,1,0.4267683097177852
C106,C030,1,0.22965741141161777
C106,C031,1,0.5654146930499181
C106,C034,1,0.20768959981408278
C106,C035,1,0.1356132182884125
C106,C036,1,0.21376031349072988
C106,C037,1,0.29386225417844913
C106,C038,1,0.2891453093554744
C106,C045,1,0.2799426262564631
C106,C046,1,0.33508145392942906
C106,C047,1,0.688027475899555
C106,C050,1,0.2782129413413821
C106,C051,1,0.7028081663019513
C106,C052,1,0.2930936944479429
C106,C053,1,0.18931008649424005
C106,C056,1,0.2935117798564634
C106,C057,1,0.24285832769628665
C106,C061,1,0.4256183103831091
C106,C062,1,0.34833469048736754
C106,C063,1,0.23894068791067472
C106,C064,1,0.2358585994018242
C106,C065,1,0.2500096909519431
C106,C086,1,0.263712270227553
C106,C087,1,0.5654235473788839
C106,C091,1,0.20430038974335032
C106,C092,1,0.2505420010223979
C106,C093,1,0.1874668655986819
C106,C095,1,0.21741389159733787
C106,C099,1,0.6958039928613818
C106,C100,1,0.7590646255762873
C106,C103,1,0.3251352884867136
C106,C104,1,0.5064725392121951
C106,C105,1,0.187709080753043
C109,C005,1,0.31632943001639124
C109,C006,1,0.18665260525039581
C109,C007,1,0.5004494578856765
C109,C008,1,0.5731209371645299
C109,C009,1,0.2044832814459541
C109,C010,1,0.1947153734364393
C109,C014,1,0.40303026970135575
C109,C015,1,0.08276133782510063
C109,C016,1,0.8757023635076987
C109,C017,1,0.6396023369108929
C109,C018,1,0.23124525639704716
C109,C019,1,0.2166246133195339
C109,C025,1,0.3949137200660709
C109,C028,1,0.4118723586419033
C109,C030,1,0.18876242045590638
C109,C031,1,0.5112488165956212
C109,C034,1,0.3364341775715818
C109,C035,1,0.33320557414166857
C109,C036,1,0.4542785446827349
C109,C037,1,0.31912242895340137
C109,C038,1,0.25836450882773015
C109,C045,1,0.26244118408962985
C109,C046,1,0.4129878647923655
C109,C047,1,0.6662598297844344
C109,C050,1,0.3043900942437575
C109,C051,1,0.7743364270434259
C109,C052,1,0.30247917942440655
C109,C053,1,0.28534816185543094
C109,C056,1,0.2890082823852231
C109,C057,1,0.1510532778322089
C109,C061,1,0.43671900511447626
C109,C062,1,0.30510412754078514
C109,C063,1,0.17844134199869024
C109,C064,1,0.17918520237682267
C109,C065,1,0.23260442362605224
C109,C086,1,0.2171506639128219
C109,C087,1,0.5204661355885715
C109,C091,1,0.26585247695413544
C109,C092,1,0.24424899495770486
C109,C093,1,0.1319595436790106
C109,C095,1,0.15549140372085787
C109,C099,1,0.8533058127319639
C109,C100,1,0.9177748512172961
C109,C103,1,0.2611124183626485
C109,C104,1,0.528701341375017
C109,C105,1,0.19857086402395033
C109,C106,1,0.2561728007872664
C110,C005,1,0.4779757099192414
C110,C006,1,0.34234602363571287
C110,C007,1,0.6880954785627927
C110,C008,1,0.6189141567396911
C110,C009,1,0.26783134635010214
C110,C010,1,0.24539577980746555
C110,C014,1,0.5748362167335423
C110,C015,1,0.1558997461744872
C110,C016,1,0.999455630836989
C110,C017,1,0.8430201824972589
C110,C018,1,0.29969907779966076
C110,C019,1,0.27657160558981225
C110,C025,1,0.552429312133239
C110,C028,1,0.6132412357149324
C110,C030,1,0.32637267512339657
C110,C031,1,0.6051425653521336
C110,C034,1,0.39719288151185606
C110,C035,1,0.41152231042974174
C110,C036,1,0.4834871805892106
C110,C037,1,0.4860758166535702
C110,C038,1,0.4378332845172726
C110,C045,1,0.43879777407538884
C110,C046,1,0.5763311092166847
C110,C047,1,0.7809190442120286
C110,C050,1,0.42768947267536717
C110,C051,1,0.8988746406833086
C110,C052,1,0.42107061423202635
C110,C053,1,0.3477451051323424
C110,C056,1,0.4778421602670195
C110,C057,1,0.2985953080428691
C110,C061,1,0.5891446674108136
C110,C062,1,0.44820084505077934
C110,C063,1,0.3228408369132558
C110,C064,1,0.3150436168878553
C110,C065,1,0.39221653303344656
C110,C086,1,0.3279557381002299
C110,C087,1,0.6092093491487636
C110,C091,1,0.33440589511096125
C110,C092,1,0.38522337254784456
C110,C093,1,0.22384669678831368
C110,C095,1,0.27453857307969304
C110,C099,1,1.000399408146299
C110,C100,1,1.0281147421432026
C110,C103,1,0.42304175394134313
C110,C104,1,0.731139400204462
C110,C105,1,0.31914304046415287
C110,C106,1,0.330066587071477
C110,C109,1,0.15061164171205216
C118,C005,1,0.3561392999474992
C118,C006,1,0.29755973934258945
C118,C007,1,0.28950305199273274
C118,C008,1,0.41307340294167866
C118,C009,1,0.4407163762925388
C118,C010,1,0.42386107108714866
C118,C014,1,0.2687645421458815
C118,C015,1,0.34534632869494897
C118,C016,1,0.5924567645090393
C118,C017,1,0.37040650003658815
C118,C018,1,0.4741067613563342
C118,C019,1,0.4172396440143412
C118,C025,1,0.2780672009841875
C118,C028,1,0.2723612791401541
C118,C030,1,0.28877882893712525
C118,C031,1,0.39313778274760214
C118,C034,1,0.4853366403219187
C118,C035,1,0.39466881395566894
C118,C036,1,0.6202705066607139
C118,C037,1,0.1911315587484515
C118,C038,1,0.24842605981355637
C118,C045,1,0.2549756633973992
C118,C046,1,0.21700465439391162
C118,C047,1,0.45177786009135373
C118,C050,1,0.32691760912505813
