K,mode,replicate,ARI
9,bootstrap95,6,0.7810604006372234
10,bootstrap95,6,0.779728193326149
2,bootstrap95,7,1.0
3,bootstrap95,7,0.7989927075637172
4,bootstrap95,7,0.8977175191531297
5,bootstrap95,7,0.7653862831903029
6,bootstrap95,7,0.7870825139637325
7,bootstrap95,7,0.7878219642255598
8,bootstrap95,7,0.9300466956723065
9,bootstrap95,7,0.9926985047914526
10,bootstrap95,7,0.9970829502864013
2,bootstrap95,8,1.0
3,bootstrap95,8,0.6403075410417388
4,bootstrap95,8,0.7231698222907555
5,bootstrap95,8,0.6584188491628885
6,bootstrap95,8,0.6667722612602235
7,bootstrap95,8,0.5532295500837306
8,bootstrap95,8,0.8683513545113948
9,bootstrap95,8,0.6636043841032648
10,bootstrap95,8,0.6625312499318877
2,bootstrap95,9,1.0
3,bootstrap95,9,0.7685298935298935
4,bootstrap95,9,0.8866986914030147
5,bootstrap95,9,0.8191927247040635
6,bootstrap95,9,0.7127408150111008
7,bootstrap95,9,0.7134698389304137
8,bootstrap95,9,0.9310097816421302
9,bootstrap95,9,0.9944798103213021
10,bootstrap95,9,0.9958684532068672
2,bootstrap95,10,0.8579172286863237
3,bootstrap95,10,0.8805840036599292
4,bootstrap95,10,0.8959360375164567
5,bootstrap95,10,0.8966866061802952
6,bootstrap95,10,0.8989165547011234
7,bootstrap95,10,0.9015664831363779
8,bootstrap95,10,0.8378022234639667
9,bootstrap95,10,0.5834471449800709
10,bootstrap95,10,0.5850777382089811
2,bootstrap95,11,1.0
3,bootstrap95,11,1.0
4,bootstrap95,11,0.9939344925192074
5,bootstrap95,11,0.9899152884227511
6,bootstrap95,11,0.6937079896405635
7,bootstrap95,11,0.5880044457121499
8,bootstrap95,11,0.8710084791629081
9,bootstrap95,11,0.7868484961703718
10,bootstrap95,11,0.7843686354378818
2,bootstrap95,12,1.0
3,bootstrap95,12,1.0
4,bootstrap95,12,1.0
5,bootstrap95,12,1.0
6,bootstrap95,12,1.0
7,bootstrap95,12,0.7983268971019221
8,bootstrap95,12,0.8834556721059764
9,bootstrap95,12,0.5257822391777489
10,bootstrap95,12,0.5237276616159597
2,bootstrap95,13,1.0
3,bootstrap95,13,0.8183122676087143
4,bootstrap95,13,1.0
5,bootstrap95,13,0.9903153327651661
6,bootstrap95,13,0.9217281489255343
7,bootstrap95,13,0.9221876389506447
8,bootstrap95,13,0.9325532432632593
9,bootstrap95,13,0.9983407317177917
10,bootstrap95,13,0.9297771697989956
2,bootstrap95,14,1.0
3,bootstrap95,14,1.0
4,bootstrap95,14,0.9942078515789707
5,bootstrap95,14,0.9948017614680438
6,bootstrap95,14,0.9965508679168119
7,bootstrap95,14,0.8455143133429079
8,bootstrap95,14,0.8768332150875181
9,bootstrap95,14,0.9987031357753294
10,bootstrap95,14,0.9974088756589498
2,bootstrap95,15,1.0
3,bootstrap95,15,1.0
4,bootstrap95,15,1.0
5,bootstrap95,15,1.0
6,bootstrap95,15,1.0
7,bootstrap95,15,0.8576049568327296
8,bootstrap95,15,0.8761254268860602
9,bootstrap95,15,0.9973310858266611
10,bootstrap95,15,0.8884540117416829
2,bootstrap95,16,1.0
3,bootstrap95,16,0.8348660233774572
4,bootstrap95,16,0.6209352884037189
5,bootstrap95,16,0.4886066003143007
6,bootstrap95,16,0.4967480964467005
7,bootstrap95,16,0.4492967615996797
8,bootstrap95,16,0.7846566493382116
9,bootstrap95,16,0.925495193561982
10,bootstrap95,16,0.38603915592923244
2,bootstrap95,17,1.0
3,bootstrap95,17,0.7210313138839533
4,bootstrap95,17,1.0
5,bootstrap95,17,0.889928009648039
6,bootstrap95,17,0.8249707775962263
7,bootstrap95,17,0.8252979465468042
8,bootstrap95,17,0.8658088608365636
9,bootstrap95,17,1.0
10,bootstrap95,17,0.6639560886359016
2,bootstrap95,18,1.0
3,bootstrap95,18,0.7989927075637172
4,bootstrap95,18,1.0
5,bootstrap95,18,0.9087240896814291
6,bootstrap95,18,0.9110710281985686
7,bootstrap95,18,0.8530133236934517
8,bootstrap95,18,0.8782775283790353
9,bootstrap95,18,0.9409242844626844
10,bootstrap95,18,0.9409701582911252
2,bootstrap95,19,1.0
3,bootstrap95,19,1.0
4,bootstrap95,19,1.0
5,bootstrap95,19,1.0
6,bootstrap95,19,1.0
7,bootstrap95,19,0.7439410011617922
8,bootstrap95,19,0.8391699532301092
9,bootstrap95,19,0.9951029186960076
10,bootstrap95,19,0.9963305182634228
2,bootstrap95,20,1.0
3,bootstrap95,20,1.0
