candidate,distance_key,window,T_h,n,effective_coverage,normalization,mode,lambda_value,radius,linkage,K,silhouette,dunn,min_cluster,max_fraction,eligible_structure,internal_score,bootstrap90,bootstrap95,drop05,drop10,stability_mean,stability_worst,warp_mean_time,warp_p95_max_time,turn_collapse_mean,selection_score,extreme_warp
M009487,coverage080_y0_multivariate_l0.25_r0.15,coverage080,164.82640238318905,76,0.5671641791044776,y0,multivariate,0.25,0.15,complete,2,0.7028775105116514,0.14253862861874406,15,0.8026315789473685,True,0.7201278659611993,0.8678349134255434,0.7905872842330733,0.7128523771458286,0.7229120900719059,0.7735466662190879,0.7128523771458286,0.06495293556398332,0.21585231366352758,0.0,0.6465611141929601,False
M033221,coverage030_ymax_multivariate_l0.25_r0.02,coverage030,1003.8344196702012,40,0.29850746268656714,ymax,multivariate,0.25,0.02,complete,3,0.6639792970956184,0.23331281012909316,4,0.725,True,0.8056382275132274,0.8263443900086456,0.8168142138730409,0.8264954313024314,0.8093509891339268,0.8197512560795113,0.8093509891339268,0.029635709552497395,0.1303298252550118,0.05994208494208493,0.64489727754597,False
M025129,coverage050_z_derivative_l1_r0.02,coverage050,975.619819947768,66,0.4925373134328358,z,derivative,1.0,0.02,weighted,2,0.6005378153486853,0.5527374867982477,4,0.9393939393939394,True,0.8929673721340388,0.7001152217231406,0.6884351840032771,0.7493063598967447,0.6999136290090816,0.709442598658061,0.6884351840032771,0.0177906433713126,0.09154801181515615,0.0,0.640410007076395,False
M034102,coverage030_z_classic_l0_r0.15,coverage030,1003.8344196702012,40,0.29850746268656714,z,classic,0.0,0.15,average,2,0.5915927444251639,0.4930212546500042,3,0.925,True,0.8314043209876543,0.7824559816760583,0.7844106884992087,0.8483672733188499,0.8455479034740006,0.8151954617420294,0.7824559816760583,0.06106467789749577,0.19811809977179506,0.0,0.6315645588448653,False
M034912,coverage030_z_multivariate_l2_r0.15,coverage030,1003.8344196702012,40,0.29850746268656714,z,multivariate,2.0,0.15,average,2,0.5909175819154633,0.49508086455521044,3,0.925,True,0.830026455026455,0.7824559816760583,0.7844106884992087,0.8483672733188499,0.8541881046595584,0.8173555120384188,0.7824559816760583,0.06242312082206042,0.19891672501859176,0.030482456140350875,0.6313007436242806,False
M034750,coverage030_z_multivariate_l1_r0.15,coverage030,1003.8344196702012,40,0.29850746268656714,z,multivariate,1.0,0.15,average,2,0.5914386919655434,0.4935371058371227,3,0.925,True,0.8305224867724867,0.7824559816760583,0.7844106884992087,0.8483672733188499,0.8541881046595584,0.8173555120384188,0.7824559816760583,0.06246087647848816,0.19891672501859176,0.04364035087719298,0.6312891961288746,False
M034588,coverage030_z_multivariate_l0.5_r0.15,coverage030,1003.8344196702012,40,0.29850746268656714,z,multivariate,0.5,0.15,average,2,0.5915360254276427,0.4931502769766665,3,0.925,True,0.8307429453262787,0.7824559816760583,0.7844106884992087,0.8483672733188499,0.8455479034740006,0.8151954617420294,0.7824559816760583,0.06246087647848816,0.19891672501859176,0.04364035087719298,0.631284016812022,False
M034426,coverage030_z_multivariate_l0.25_r0.15,coverage030,1003.8344196702012,40,0.29850746268656714,z,multivariate,0.25,0.15,average,2,0.5915851987770437,0.49305351395598607,3,0.925,True,0.8310736331569666,0.7824559816760583,0.7844106884992087,0.8483672733188499,0.8455479034740006,0.8151954617420294,0.7824559816760583,0.06247541362532164,0.19891672501859176,0.04364035087719298,0.6312829156436404,False
M035074,coverage030_z_multivariate_l4_r0.15,coverage030,1003.8344196702012,40,0.29850746268656714,z,multivariate,4.0,0.15,average,2,0.5895572040513418,0.5011999211764607,3,0.925,True,0.8289792768959436,0.7717604825172683,0.7844106884992087,0.8548027072872588,0.8714685070306739,0.8206105963336024,0.7717604825172683,0.06245066532802451,0.19891672501859176,0.030482456140350875,0.6265848476473328,False
M018550,coverage060_y0_multivariate_l0.25_r0.15,coverage060,605.7960715706885,80,0.5970149253731343,y0,multivariate,0.25,0.15,average,2,0.6555914211484557,0.10870343121857103,21,0.7375,True,0.7870094797178131,0.6778720027032348,0.7129932612425642,0.9782939556457112,0.9520288305907715,0.8302970125455704,0.6778720027032348,0.08090376936797562,0.2086277812088702,0.10128205128205127,0.6250181144763849,False
