variant_id,setting_id,k,seed_ari,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,occupied_nodes_median,empty_nodes_median,min_cluster_fraction_median,minimum_center_rmse_median,median_within_rmse_median,center_separation_ratio_median,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction
w0300_coverage_z_level,sigma0.3_lr0.03_random,4,0.7477279235620676,1.7476532709834085,0.21845665887292606,0.0,0.3163516510297438,4.0,0.0,0.05345911949685535,0.3248389888801976,0.15691497078315775,2.0699488511352153,0.3,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_random,5,0.5668077932471599,1.6315883191523208,0.2039485398940401,0.6817610062893081,0.28418443826893647,5.0,0.0,0.05220125786163522,0.25639025327906617,0.143546205836042,1.7861165454287808,0.3,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_random,6,0.39074192073143105,1.5687474188038832,0.1960934273504854,0.1540880503144654,0.24324369772329862,6.0,0.0,0.03459119496855346,0.2111347635194584,0.13863681550454285,1.6801085487286669,0.3,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_random,7,0.3939999853401601,1.5416568507430464,0.1927071063428808,0.5540880503144654,0.20171814652183373,7.0,0.0,0.028930817610062894,0.17231376409330093,0.12702445893496933,1.3628497402188897,0.3,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_random,8,0.4200460339955256,1.4838797394218153,0.1854849674277269,0.3672955974842767,0.23709771642764843,8.0,0.0,0.01509433962264151,0.20852767707145986,0.12865303426280206,1.618255362608372,0.3,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_sequential,2,0.9955031749646103,2.3020105460528715,0.28775131825660893,0.0,0.7367413205199693,2.0,0.0,0.05471698113207547,1.3872599826531158,0.21541683262054995,6.439886641032789,0.3,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_sequential,3,1.0,1.9567202155436039,0.24459002694295048,0.05345911949685535,0.31446661172334467,3.0,0.0,0.050314465408805034,0.3892828152352576,0.18273501704334083,2.1303131798805577,0.3,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_sequential,4,0.8765196405374874,1.7688830649347287,0.22111038311684109,0.0,0.35948320440748377,4.0,0.0,0.04213836477987421,0.37954178094074215,0.17610320096344667,2.1552229270030154,0.3,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_sequential,5,0.5675232536746079,1.6512932641412579,0.20641165801765723,0.8383647798742139,0.3068175253359406,5.0,0.0,0.035849056603773584,0.3069760501515496,0.15526616731841875,1.9782612115578806,0.3,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_sequential,6,0.629294641488282,1.532490876114421,0.19156135951430261,0.08050314465408805,0.2779633715945243,6.0,0.0,0.03333333333333333,0.25180194570190667,0.14130383085774506,1.7667833277688783,0.3,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319
