variant_id,setting_id,elbow_k,qe_elbow_strength,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,seed_ari,occupied_nodes_median,empty_nodes_median,min_cluster_fraction_median,center_separation_ratio_median,passes_support,rank_silhouette_median,rank_seed_ari,rank_topographic_error_median,rank_center_separation_ratio_median,rank_min_cluster_fraction_median,rank_retention_fraction,rank_qe_elbow_strength,som_rank_sum
w0300_coverage_z_level,sigma1.2_lr0.03_sequential,3,0.30174341769502533,1.2,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319,1.982767488841765,0.24784593610522063,0.014465408805031447,0.31024142334088317,1.0,3.0,0.0,0.08238993710691823,1.9490400878394358,True,79.0,32.0,136.0,72.0,37.5,95.5,136.0,588.0
w0300_coverage_z_level_d1,sigma2_lr0.03_sequential,5,0.43107189472158447,2.0,0.03,False,300,coverage,z_level_d1,1590,127,0.7557034220532319,0.5528015388284047,0.04905320438946295,0.005660377358490566,0.06449838729120445,0.995722306213849,5.0,0.0,0.10251572327044026,0.6403188578495962,True,156.0,65.0,100.5,160.0,9.5,95.5,14.0,600.5
w0300_coverage_z_level,sigma0.8_lr0.3_sequential,4,0.2773289878571406,0.8,0.3,False,300,coverage,z_level,1590,64,0.7557034220532319,1.8181099022816547,0.22726373778520684,0.0,0.35339539809662013,1.0,4.0,0.0,0.0440251572327044,2.1755779271842877,True,54.0,32.0,47.5,42.0,167.0,95.5,165.0,603.0
w0300_coverage_z_level,sigma0.5_lr0.1_sequential,4,0.28795096972445305,0.5,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319,1.7628279333401018,0.22035349166751272,0.0,0.35181735455163915,1.0,4.0,0.0,0.04213836477987421,2.1100028670985744,True,55.0,32.0,47.5,55.0,171.5,95.5,151.0,607.5
w0300_coverage_z_level,sigma0.2_lr0.03_random,4,0.33537837576669444,0.2,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319,1.7476485596685367,0.2184560699585671,0.0,0.3163516510297438,0.7477279235620676,4.0,0.0,0.05345911949685535,2.06994924333716,True,74.5,129.5,47.5,62.0,118.5,95.5,87.0,614.5
w0300_coverage_z_level,sigma2_lr0.1_random,5,0.4197525983542989,2.0,0.1,True,300,coverage,z_level,1590,64,0.7557034220532319,1.758846359929795,0.21985579499122437,0.006918238993710692,0.17764662812723045,0.8396311207961817,5.0,0.0,0.07044025157232704,1.2555799117094364,True,125.0,96.0,105.5,113.0,58.5,95.5,22.0,615.5
w0300_coverage_z_level,sigma0.3_lr0.03_random,4,0.335354804035876,0.3,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319,1.7476532709834085,0.21845665887292606,0.0,0.3163516510297438,0.7477279235620676,4.0,0.0,0.05345911949685535,2.0699488511352153,True,74.5,129.5,47.5,63.0,118.5,95.5,88.0,616.5
w0300_coverage_z_level,sigma2_lr0.3_random,5,0.43523421396828665,2.0,0.3,True,300,coverage,z_level,1590,64,0.7557034220532319,1.7517137854324454,0.21896422317905567,0.007547169811320755,0.22064026399893227,0.7542460401667617,5.0,0.0,0.062264150943396226,1.3355048416276107,True,106.0,126.0,109.5,96.0,71.5,95.5,12.0,616.5
w0300_coverage_z_level_d1,sigma2_lr0.03_random,5,0.4376323127070758,2.0,0.03,True,300,coverage,z_level_d1,1590,127,0.7557034220532319,0.551868977328559,0.04897045293773106,0.005660377358490566,0.06521923474789078,0.848188000701247,5.0,0.0,0.10251572327044026,0.6587312402194485,True,155.0,92.0,100.5,155.0,9.5,95.5,11.0,618.5
w0300_coverage_z_level_d1,sigma2_lr0.3_sequential,5,0.3923104131211538,2.0,0.3,False,300,coverage,z_level_d1,1590,127,0.7557034220532319,0.5560872649699687,0.049344765437450505,0.011949685534591196,0.1051134212650671,1.0,5.0,0.0,0.07672955974842767,0.7725124285466756,True,137.0,32.0,129.5,138.0,46.5,95.5,41.0,619.5
w0300_coverage_z_level_d1,sigma1.2_lr0.5_sequential,4,0.21911298137536378,1.2,0.5,False,300,coverage,z_level_d1,1590,127,0.7557034220532319,0.5813696764316475,0.05158821667587623,0.0,0.19826247697055827,1.0,4.0,0.0,0.06540880503144654,1.4513201272772194,True,110.0,32.0,47.5,85.0,67.0,95.5,187.0,624.0
w0300_coverage_z_level_d1,sigma0.8_lr0.1_sequential,4,0.30655025351830606,0.8,0.1,False,300,coverage,z_level_d1,1590,127,0.7557034220532319,0.5496844857444625,0.048776610655039784,0.0,0.19101584287937284,1.0,4.0,0.0,0.055345911949685536,1.308143290058698,True,115.0,32.0,47.5,98.0,108.5,95.5,129.0,625.5
w0300_coverage_z_level,sigma0.5_lr0.03_sequential,4,0.3392852782538733,0.5,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319,1.7426300716450815,0.2178287589556352,0.0,0.3200211790159217,0.49512813423343793,4.0,0.0,0.05345911949685535,2.1610466624321925,True,73.0,167.0,47.5,43.0,118.5,95.5,83.0,627.5
w0300_coverage_z_level,sigma0.5_lr0.03_random,4,0.33516423070350604,0.5,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319,1.7408013693467834,0.21760017116834793,0.0,0.3141139529933136,0.7182479997100746,4.0,0.0,0.05345911949685535,2.0614435264353452,True,77.0,136.0,47.5,64.0,118.5,95.5,89.0,627.5
w0300_coverage_z_level,sigma0.8_lr0.1_random,4,0.32325261300451064,0.8,0.1,True,300,coverage,z_level,1590,64,0.7557034220532319,1.745253294220501,0.21815666177756263,0.0,0.33259592280205735,0.8132564613649652,4.0,0.0,0.04905660377358491,2.0397773250038322,True,65.0,107.0,47.5,65.0,150.0,95.5,107.0,637.0
w0300_coverage_z_level,sigma0.2_lr0.1_sequential,4,0.29384467107944573,0.2,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319,1.7688818082791502,0.22111022603489378,0.0,0.35948320440748377,0.8765196405374874,4.0,0.0,0.04213836477987421,2.1552229770607068,True,52.5,88.5,47.5,45.0,171.5,95.5,142.0,642.5
w0300_coverage_z_level,sigma0.3_lr0.1_sequential,4,0.2938502188859325,0.3,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319,1.7688830649347287,0.22111038311684109,0.0,0.35948320440748377,0.8765196405374874,4.0,0.0,0.04213836477987421,2.1552229270030154,True,52.5,88.5,47.5,46.0,171.5,95.5,141.0,642.5
w0300_coverage_z_level,sigma2_lr0.5_random,5,0.4406863404867609,2.0,0.5,True,300,coverage,z_level,1590,64,0.7557034220532319,1.7843169243896004,0.22303961554870005,0.007547169811320755,0.24628493619825823,0.5967304788132122,5.0,0.0,0.05849056603773585,1.283286829768093,True,86.0,152.0,109.5,103.0,91.0,95.5,9.0,646.0
w0300_coverage_z_level,sigma0.3_lr0.1_random,4,0.3112688641774561,0.3,0.1,True,300,coverage,z_level,1590,64,0.7557034220532319,1.7611237388715555,0.22014046735894444,0.0,0.3629495649878192,0.793126095533653,4.0,0.0,0.04213836477987421,2.244254281773031,True,50.5,117.5,47.5,40.0,171.5,95.5,125.0,647.5
w0300_coverage_z_level,sigma1.2_lr0.03_random,3,0.2934791611195806,1.2,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319,1.9798283551907208,0.2474785443988401,0.015723270440251572,0.31215834877658727,0.8775643240047734,3.0,0.0,0.08427672955974842,1.9324123352215208,True,78.0,87.0,138.0,73.0,33.0,95.5,143.0,647.5
