curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original
图片31_0266bdd96f,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_1__Series_1.csv,图片31,samples_test__unknown__unknown__图片31__Series_1__Series_1,,,,,,50,,3.2006482036469492,1856.988380371974,17.646101707095692,19.107528430014156
图片31_7f22023af1,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_2__Series_2.csv,图片31,samples_test__unknown__unknown__图片31__Series_2__Series_2,,,,,,50,,-0.5825920660843167,1853.2051401022427,9.689445104539612,10.338968092503372
图片31_d90d9d1d99,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_3__Series_3.csv,图片31,samples_test__unknown__unknown__图片31__Series_3__Series_3,,,,,,50,,-0.5825920660843167,1853.2051401022427,12.125156309403716,12.93706004435842
图片31_8e8e93fb88,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_4__Series_4.csv,图片31,samples_test__unknown__unknown__图片31__Series_4__Series_4,,,,,,50,,25.90008982203466,1879.6878219903615,22.030381875851084,22.842285610805785
图片4_899e799d89,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_1__Series_1.csv,图片4,samples_test__unknown__unknown__图片4__Series_1__Series_1,,,,,,32,,-10.390511138820898,1180.767813223611,0.2119647302674875,0.9996501883790008
图片4_e17a8da744,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_2__Series_2.csv,图片4,samples_test__unknown__unknown__图片4__Series_2__Series_2,,,,,,32,,-10.390511138820898,1180.767813223611,0.8306035375514158,1.0032469256306515
图片4_1537d3c6c9,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_3__Series_3.csv,图片4,samples_test__unknown__unknown__图片4__Series_3__Series_3,,,,,,32,,-10.390511138820898,1180.767813223611,0.8629741728162725,1.0032469256306515
图片51_86d7401084,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片51/accepted/samples_test__unknown__unknown__图片51__Series_1__Series_1.csv,图片51,samples_test__unknown__unknown__图片51__Series_1__Series_1,,,Normalized PCE,(a.u.),,17,,-5.070617723723217,337.30790675532387,0.8102874961705441,1.0074797999687704
图片51_41db8d94fd,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片51/accepted/samples_test__unknown__unknown__图片51__Series_2__Series_2.csv,图片51,samples_test__unknown__unknown__图片51__Series_2__Series_2,,,Normalized PCE,(a.u.),,48,,-5.070617723723217,1000.6662979334776,0.9335326860444356,1.0013175404750758
图片52_3b7282acc8,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片52/accepted/samples_test__unknown__unknown__图片52__Series_1__Series_1.csv,图片52,samples_test__unknown__unknown__图片52__Series_1__Series_1,,,,,,49,,-6.598419424355768,1187.2350961962052,0.9765502156980532,1.0338116785234337
图片52_76d83bc3d8,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片52/accepted/samples_test__unknown__unknown__图片52__Series_2__Series_2.csv,图片52,samples_test__unknown__unknown__图片52__Series_2__Series_2,,,,,,48,,8.324499520901213,1177.286483566034,0.8493025205305408,1.0592612175569365
