k,sigma,lr,seed,iterations,grid,qe,occupied,method
14,0.5,0.3,101,50000,2x7,0.28176724546633003,14,threshold_p01
15,0.5,0.3,11,50000,3x5,0.2764803632447485,15,threshold_p01
15,0.5,0.3,29,50000,3x5,0.2720940982675263,15,threshold_p01
15,0.5,0.3,47,50000,3x5,0.27213403367577255,15,threshold_p01
15,0.5,0.3,71,50000,3x5,0.2699623880232851,15,threshold_p01
15,0.5,0.3,101,50000,3x5,0.2679636633266491,15,threshold_p01
16,0.5,0.3,11,50000,4x4,0.25739643545977886,16,threshold_p01
16,0.5,0.3,29,50000,4x4,0.2584671579252319,16,threshold_p01
16,0.5,0.3,47,50000,4x4,0.2602992346506392,16,threshold_p01
16,0.5,0.3,71,50000,4x4,0.2568392768819565,16,threshold_p01
16,0.5,0.3,101,50000,4x4,0.2588851784754922,16,threshold_p01
1,0.5,0.3,11,50000,1x1,1.0124236338625536,1,threshold_p02
1,0.5,0.3,29,50000,1x1,0.9863289779978002,1,threshold_p02
1,0.5,0.3,47,50000,1x1,1.0126872460444494,1,threshold_p02
1,0.5,0.3,71,50000,1x1,1.2083103244747193,1,threshold_p02
1,0.5,0.3,101,50000,1x1,0.9643045833291822,1,threshold_p02
2,0.5,0.3,11,50000,1x2,0.6860127315840735,2,threshold_p02
2,0.5,0.3,29,50000,1x2,0.6387323958457461,2,threshold_p02
2,0.5,0.3,47,50000,1x2,0.6292331817549368,2,threshold_p02
2,0.5,0.3,71,50000,1x2,0.6597249710771105,2,threshold_p02
2,0.5,0.3,101,50000,1x2,0.6593402497140287,2,threshold_p02
3,0.5,0.3,11,50000,1x3,0.5862308523069675,3,threshold_p02
3,0.5,0.3,29,50000,1x3,0.5796424906783787,3,threshold_p02
3,0.5,0.3,47,50000,1x3,0.5802847601738528,3,threshold_p02
3,0.5,0.3,71,50000,1x3,0.6317767730534193,3,threshold_p02
3,0.5,0.3,101,50000,1x3,0.6576405510161921,3,threshold_p02
4,0.5,0.3,11,50000,2x2,0.5369178979444753,4,threshold_p02
4,0.5,0.3,29,50000,2x2,0.5286516340712107,4,threshold_p02
4,0.5,0.3,47,50000,2x2,0.5364291932624955,4,threshold_p02
4,0.5,0.3,71,50000,2x2,0.5507348578619291,4,threshold_p02
4,0.5,0.3,101,50000,2x2,0.5419598652095388,4,threshold_p02
5,0.5,0.3,11,50000,1x5,0.4778218848582655,5,threshold_p02
5,0.5,0.3,29,50000,1x5,0.49102344296635286,5,threshold_p02
5,0.5,0.3,47,50000,1x5,0.4757413006717191,5,threshold_p02
5,0.5,0.3,71,50000,1x5,0.46798233711479115,5,threshold_p02
5,0.5,0.3,101,50000,1x5,0.4984107570872642,5,threshold_p02
