curve_id,status,reason,n_original_points,pce_max_0_200h,pce_min_normalized,max_x_hours,n_unique_t,t_coverage_pct,top_dir,doi,figure_label,series_id,unit_label
x_time_day/10.1002_anie.201911796/Fig4_C_stability_performance_curve_pce/10.1002_anie.201911796__Fig4__C__stability_performance_curve_pce__−SnO2__Series_2.csv,excluded,"Too few unique time points (4) in [0,200]h window (data spans 94% of window)",12,,,188.02806899876293,4,94.01403449938147,x_time_day,10.1002/anie.201911796,Fig4_C,Series_2,days
x_time_day/10.1002_anie.202105512/Fig4_D_stability_performance_curve_pce_photovoltaic_parameter/10.1002_anie.202105512__Fig4__D__stability_performance_curve_pce_photovoltaic_parameter__Control_Device__Series_2.csv,included,OK,46,1.0008012337175969,0.9450896839237005,185.53567175677577,11,92.76783587838788,x_time_day,10.1002/anie.202105512,Fig4_D,Series_2,days
x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM+PMMA1__Series_4.csv,included,OK,44,0.9970073277632169,0.8621843002634714,196.34225527488988,13,98.17112763744494,x_time_day,10.1002/chem.201703382,Fig5_A,Series_4,days
x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM+PMMA2__Series_1.csv,included,OK,43,1.0033985824247027,0.7961751807256323,196.3422552748899,13,98.17112763744495,x_time_day,10.1002/chem.201703382,Fig5_A,Series_1,days
x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM+PMMA3__Series_3.csv,included,OK,46,1.0002029550939597,0.8402571536136565,196.34225527488985,13,98.17112763744493,x_time_day,10.1002/chem.201703382,Fig5_A,Series_3,days
x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM__Series_2.csv,included,OK,44,0.9874204457709884,0.8155348508297401,196.34225527488985,13,98.17112763744493,x_time_day,10.1002/chem.201703382,Fig5_A,Series_2,days
x_time_day/10.1002_chem.201704181/Fig5_D_stability_performance_curve_pce/10.1002_chem.201704181__Fig5__D__stability_performance_curve_pce__W_O_IPA__Series_1.csv,excluded,"Too few unique time points (8) in [0,200]h window (data spans 92% of window)",36,,,184.7290925022698,8,92.3645462511349,x_time_day,10.1002/chem.201704181,Fig5_D,Series_1,days
x_time_day/10.1002_cnma.201800064/Fig6_B_stability_performance_curve/10.1002_cnma.201800064__Fig6__B__stability_performance_curve__(a)MAPbl₃__Series_1.csv,included,OK,77,0.9869849678618438,0.4688631302138312,195.44039670745687,32,97.72019835372843,x_time_day,10.1002/cnma.201800064,Fig6_B,Series_1,days
x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/10.1002_cssc.201600887__Fig6__whole__stability__D-0_in_ambient_atm__Series_3.csv,included,OK,53,0.9718513151205798,0.325402988049752,190.12293995953567,15,95.06146997976784,x_time_day,10.1002/cssc.201600887,Fig6,Series_3,days
x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/10.1002_cssc.201600887__Fig6__whole__stability__−−D-0_in_glove_box__Series_1.csv,included,OK,54,1.0008959916064761,0.6519072392910006,190.1229399595356,15,95.0614699797678,x_time_day,10.1002/cssc.201600887,Fig6,Series_1,days
