curve_id,raw_cluster_id,som_node_x,som_node_y,bmu_distance,max_pce_0_200h,pce_norm_t0,pce_norm_t10,pce_norm_t50,pce_norm_t100,pce_norm_t150,pce_norm_t200,peak_time_h,qc_status
x_time_day/10.1002_cssc.201700271/Fig5_C_stability_performance_curve_pce/10.1002_cssc.201700271__Fig5__C__stability_performance_curve_pce__Device_without_PVP__Series_2.csv,2,1,0,1.146630371766925,11.612689009428994,0.999178388523365,0.9916531491671827,0.9482135252921366,0.8975069360429794,0.8339394069132527,0.7732628240208719,0.0,included
x_time_day/10.1002_cssc.201700603/Fig5_B_stability_performance_curve_pce/10.1002_cssc.201700603__Fig5__B__stability_performance_curve_pce__0__Series_4.csv,2,1,0,2.065691072074056,14.604756706936742,0.9996262675788495,0.9982280071517105,0.9758395354023709,0.9367578474853764,0.8475005428724622,0.6845608386557133,4.333333333333333,included
x_time_day/10.1002_cssc.201700603/Fig5_B_stability_performance_curve_pce/10.1002_cssc.201700603__Fig5__B__stability_performance_curve_pce__5__Series_1.csv,0,0,0,1.15324011300083,10.961469591868562,0.9561879075184784,0.9615616277206244,0.9998685057223581,0.9395428798532705,0.90036257063603,0.845871993021027,49.666666666666664,included
x_time_day/10.1002_cssc.201702265/Fig3_A_pce/10.1002_cssc.201702265__Fig3__A__pce__MAPbI₃_+_10%_F1_0.5_mmol__Series_1.csv,0,0,0,1.3932528993942246,1.0001121807680406,0.9998763738441127,0.9988842947677377,0.9940783454388961,0.9881566908778321,0.9832632091985498,0.9787108223701764,0.0,included
x_time_day/10.1002_cssc.201702265/Fig3_A_pce/10.1002_cssc.201702265__Fig3__A__pce__Reference__Series_2.csv,0,0,0,0.42752776570629425,0.9990826800909627,0.9997358652364581,0.9960075624789362,0.9787417417714785,0.9573954124676397,0.9377175011947415,0.9199153859800784,0.0,included
x_time_day/10.1002_cssc.201702265/Fig3_B_pce/10.1002_cssc.201702265__Fig3__B__pce__MAPbl+10%F20.5mmol3__Series_1.csv,2,1,0,0.7739428627370489,0.999645042563824,0.9982702650603631,0.9843894335366065,0.9235116191199054,0.8483013673663682,0.8175093154003855,0.8161801132868128,0.0,included
x_time_day/10.1002_cssc.201702265/Fig3_B_pce/10.1002_cssc.201702265__Fig3__B__pce__MAPbl+10%F3_0.5mmol3__Series_3.csv,0,0,0,0.8990233106955294,1.001016345836044,0.9997532335204273,0.9977729740889422,0.9861256921402048,0.9732695826541629,0.9638547893968714,0.9560796249697713,0.0,included
x_time_day/10.1002_cssc.201702265/Fig3_B_pce/10.1002_cssc.201702265__Fig3__B__pce__Reference__Series_2.csv,1,0,1,1.7687164867448144,0.9982737392916043,0.9970306668013272,0.9732022680538766,0.8687123030789597,0.7402594822948358,0.6640811751433474,0.620602868579182,0.0,included
x_time_day/10.1002_cssc.201702265/Fig3_C_pce/10.1002_cssc.201702265__Fig3__C__pce__MAPbI₃_+_10%_C₆₀__Series_3.csv,0,0,0,0.5405107384897325,1.0002216992211042,0.9998323313011339,0.9975168983159226,0.9824817243848908,0.9642596685320508,0.9463022036817813,0.9289024745770674,0.0,included
x_time_day/10.1002_cssc.201702265/Fig3_C_pce/10.1002_cssc.201702265__Fig3__C__pce__MAPbI₃_+_5%_C₆₀__Series_1.csv,0,0,0,0.43620177358659007,0.998299457395049,0.9996215053865808,0.9962453773165234,0.9786884832838177,0.9543003510388717,0.9315480374720476,0.9133606387055958,0.0,included
x_time_day/10.1002_cssc.201702265/Fig3_C_pce/10.1002_cssc.201702265__Fig3__C__pce__Reference__Series_2.csv,0,0,0,0.4784284600486443,0.9880475009894221,0.9995785410374505,0.9961976267633749,0.9791093527334421,0.9587161696973173,0.9433715872815488,0.9306196290641062,0.0,included
x_time_day/10.1002_cssc.201902165/Fig6_B_stability_performance_curve_pce_mapping/10.1002_cssc.201902165__Fig6__B__stability_performance_curve_pce_mapping__TiO2_NPs__Series_2.csv,2,1,0,1.1869801307743173,0.9999974189626701,0.999020984684808,0.990307274404285,0.9455623691243495,0.8757525185592033,0.7483071488546833,0.7165640236957916,0.0,included
x_time_day/10.1002_cssc.201903025/Fig7_A_stability_performance_curve_pce/10.1002_cssc.201903025__Fig7__A__stability_performance_curve_pce__NiO_NCs__Series_1.csv,0,0,0,0.39468732807832796,1.0024098859315,0.9997936722314462,0.9965142470309394,0.9764925112306715,0.9504619842597252,0.9335924954670752,0.9176187283457349,0.0,included
x_time_day/10.1002_cssc.201903025/Fig7_A_stability_performance_curve_pce/10.1002_cssc.201903025__Fig7__A__stability_performance_curve_pce__NiO_NWs_DEA__Series_3.csv,0,0,0,1.6113725904659502,1.0066469960283024,0.9997945406922618,0.9981485703270435,0.9957908679869311,0.9955511893378377,0.9933271481032836,0.9894663935858787,0.0,included
x_time_day/10.1002_cssc.201903025/Fig7_A_stability_performance_curve_pce/10.1002_cssc.201903025__Fig7__A__stability_performance_curve_pce__NiO_NWs__Series_2.csv,0,0,0,1.120333570930734,1.0045284409799013,0.999893945974607,0.9982364255536454,0.9907092688268133,0.9810189590878575,0.9721278064805194,0.9662450164088235,0.0,included
x_time_day/10.1002_ente.201800378/Fig9_C_jv_curve_stability_performance_pce_jsc/10.1002_ente.201800378__Fig9__C__jv_curve_stability_performance_pce_jsc__W_O_PVB__Series_1.csv,3,1,1,3.4270636435806137,14.218752348700693,0.9991825583190449,0.9916571345278989,0.7029917575863475,0.5640269993593914,0.4069041129560817,0.27298746273394714,0.0,included
x_time_day/10.1002_ente.201800378/Fig9_C_jv_curve_stability_performance_pce_jsc/10.1002_ente.201800378__Fig9__C__jv_curve_stability_performance_pce_jsc__With_PVB__Series_2.csv,2,1,0,1.8703229074325445,19.265829377900907,0.9673513179066735,0.9990027705468898,0.9113853786350815,0.8740800055977507,0.7690106770154101,0.6123975747907621,9.5,included
x_time_day/10.1002_ente.201900990/Fig6_whole_stability/10.1002_ente.201900990__Fig6__whole__stability__Standard__Series_1.csv,0,0,0,2.0671752971125272,1.0017945316687114,0.999820327336212,0.9981052701841115,0.9814901233568933,0.9395429967748706,0.8871451964807698,0.7573350974058728,3.1666666666666665,included
x_time_day/10.1002_ente.202200761/Fig5_F_stability_performance_curve/10.1002_ente.202200761__Fig5__F__stability_performance_curve__Pristine__Series_1.csv,0,0,0,0.4111840036614318,1.0024605863343317,0.9989446981932416,0.9911351315800213,0.9693900107946724,0.9544365452605763,0.9464037017970772,0.9413466605926412,0.0,included
x_time_day/10.1002_ente.202200761/Fig5_F_stability_performance_curve/10.1002_ente.202200761__Fig5__F__stability_performance_curve__→—Brij_30__Series_2.csv,0,0,0,1.2213548542217951,1.00386062541291,0.9995772390992822,0.9965461439718725,0.9884047674350428,0.9811359961134383,0.9775432531164472,0.9749021584943013,0.0,included
x_time_day/10.1002_pc.25527/Fig9_D_stability_performance_curve/10.1002_pc.25527__Fig9__D__stability_performance_curve__based_on_Ag_CuO_Nfs_PEDOT_PSS__Series_2.csv,0,0,0,0.4813077339474757,1.0113623067787372,0.9989293485481686,0.9917652641071881,0.9782773510344577,0.9615291648167988,0.9318455341109777,0.8956315603371631,0.0,included
x_time_day/10.1002_pc.25527/Fig9_D_stability_performance_curve/10.1002_pc.25527__Fig9__D__stability_performance_curve__based_on_PEDOT_PSS__Series_1.csv,2,1,0,0.4792578356072981,1.0038158305992708,0.9987115532097811,0.988371984751988,0.9347824383589872,0.8619456014323379,0.8053353497846969,0.7720563774263435,0.0,included
x_time_day/10.1002_smll.201904387/Fig5_A_stability_performance_curve_pce/10.1002_smll.201904387__Fig5__A__stability_performance_curve_pce__0-Control__Series_1.csv,0,0,0,1.1723449687916756,14.313474823371747,0.9998187706729906,0.9998053646814312,0.9972733715117222,0.9947407527647637,0.9710474842990666,0.9367396970012288,5.833333333333333,included
