curve_id,array_row,n_unique_points_0_200h,n_duplicate_points,max_support_gap_h,endpoint_bracket_time_h,akima_raw_knot_rmse,pchip_raw_knot_rmse,linear_raw_knot_rmse,akima_below_support_normalized,akima_above_support_normalized,pchip_below_support_normalized,pchip_above_support_normalized,linear_below_support_normalized,linear_above_support_normalized,akima_vs_pchip_rmse,pchip_vs_linear_rmse,akima_smoothing_rmse
x_time_h/10.1016_j.electacta.2022.140172/Fig6_D_stability_performance_curve_pce/accepted/10.1016_j.electacta.2022.140172__Fig6__D__stability_performance_curve_pce__Control__Series_2.csv,781,14,0,14.524448951806107,203.34228532528536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.076739979357777e-05,4.92071730037335e-05,2.5934048750929953e-06
x_time_h/10.1016_j.jallcom.2019.05.148/Fig9_A_stability_performance_curve_pce/accepted/10.1016_j.jallcom.2019.05.148__Fig9__A__stability_performance_curve_pce__TBAO__Series_2.csv,782,23,0,8.892003983230836,204.51609161430838,0.0,0.0,0.0,0.00044388061063302435,0.0,0.0,0.0,0.0,0.0,0.00026334405142591587,0.00030294703301334246,7.588344164479593e-05
x_time_h/10.1016_j.jallcom.2020.155283/Fig5_G_stability_performance_curve_jsc/accepted/10.1016_j.jallcom.2020.155283__Fig5__G__stability_performance_curve_jsc__o—w_o_BiBr₃__Series_1.csv,783,14,0,14.443710859416285,202.21195203182793,0.0,0.0,0.0,0.0002996143012706548,0.006413048051123491,0.0,0.0,0.0,0.0,0.0061947802421106245,0.003286446076814607,0.0001313093929601992
x_time_h/10.1016_j.jallcom.2020.157784/Fig7_H_stability_performance_curve_pce/accepted/10.1016_j.jallcom.2020.157784__Fig7__H__stability_performance_curve_pce__Without__Series_2.csv,784,10,0,21.614270085844964,216.1427008584494,0.0,0.0,0.0,0.0,0.005782330993238462,0.0,0.0,0.0,0.0,0.004719069233592659,0.005362731610973093,4.211449088572407e-05
x_time_h/10.1016_j.jallcom.2023.170856/Fig7_whole_stability_performance_curve_pce/accepted/10.1016_j.jallcom.2023.170856__Fig7__whole__stability_performance_curve_pce__0—0nmMgF2__Series_2.csv,785,59,0,12.541825090831324,200.66920145330107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021440317886364463,0.00030041845469148265,0.0005857726569223046
x_time_h/10.1016_j.jcis.2021.04.055/Fig8_A_stability_performance_curve_pce/accepted/10.1016_j.jcis.2021.04.055__Fig8__A__stability_performance_curve_pce__w_o_C₆₀-tBu-I__Series_1.csv,786,22,0,9.286176542037992,204.29588392483475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011317594668697848,0.00019594378593311055,2.495301788247732e-05
x_time_h/10.1016_j.jcis.2021.07.058/Fig4_B_stability_performance_curve_pce/accepted/10.1016_j.jcis.2021.07.058__Fig4__B__stability_performance_curve_pce__(SnS₂_SnS)_PVK+DTA_CuSCN_C__Series_4.csv,787,19,0,10.611545791264149,201.6193700340183,0.0,0.0,0.0,0.0,0.0017266028730091127,0.0,0.0,0.0,0.0,0.0016539325655363089,0.00036893985154420243,3.1163833984486545e-05
x_time_h/10.1016_j.jcis.2021.07.058/Fig4_B_stability_performance_curve_pce/accepted/10.1016_j.jcis.2021.07.058__Fig4__B__stability_performance_curve_pce__(SnS₂_SnS)_PVK_CuSCN_C__Series_1.csv,788,19,0,10.611545791264149,201.6193700340183,0.0,0.0,0.0,0.0,0.00047215679700951155,0.0,0.0,0.0,0.0,0.0006637789126073433,0.0006437270135394119,6.49848693565745e-05
x_time_h/10.1016_j.jcis.2021.07.058/Fig4_B_stability_performance_curve_pce/accepted/10.1016_j.jcis.2021.07.058__Fig4__B__stability_performance_curve_pce__SnO₂_PVK_C__Series_3.csv,789,19,0,10.611545791264135,201.61937003401826,0.0,0.0,0.0,0.0,0.0005665178141151516,0.0,0.0,0.0,0.0,0.0005978096029847337,0.00035422981551058843,2.5265336734821223e-05
x_time_h/10.1016_j.jcis.2021.07.058/Fig4_B_stability_performance_curve_pce/accepted/10.1016_j.jcis.2021.07.058__Fig4__B__stability_performance_curve_pce__SnO₂_PVK_CuSCN_C__Series_2.csv,790,19,0,10.611545791264149,201.6193700340183,0.0,0.0,0.0,0.0,0.0007701539105314197,0.0,0.0,0.0,0.0,0.0008304327769584389,0.00040856371820501214,5.8898729691230776e-05
