variant_id,setting_id,elbow_k,window_hours,cohort,representation,n,seed_ari,silhouette_median,label_blind_rank_sum,target_type_coverage,exact_four,names
w0500_coverage_z_level_d1_d2,paper_sigma05_lr01_seq,4,500,coverage,z_level_d1_d2,1198,0.9318344040329896,0.051190840606115534,1113.5,2,False,Bridge-like;Slope-like
w0200_dense_z_level,random_sigma05_lr01,4,200,dense,z_level,522,0.927947234498456,0.31689770693918323,,2,False,Bridge-like;Slope-like
w0300_coverage_z_level,paper_sigma05_lr03_seq,5,300,coverage,z_level,1590,0.92358016186347,0.33044345898423716,1045.5,2,False,Bridge-like;Other/mixed;Slope-like
w0300_coverage_z_level_d1,paper_sigma05_lr01_seq,4,300,coverage,z_level_d1,1590,0.8983804215249457,0.19007026725732198,762.5,2,False,Bridge-like;Slope-like
w0500_coverage_z_level,paper_sigma05_lr03_seq,4,500,coverage,z_level,1198,0.8770960903294673,0.2978990845632892,968.5,2,False,Bridge-like;Other/mixed;Slope-like
w0750_dense_maxabs_level,random_sigma12_lr03,5,750,dense,maxabs_level,576,0.862447677703313,0.3942708732601574,708.5,2,False,Hill-like;Slope-like
w0150_coverage_z_level,random_sigma05_lr01,4,150,coverage,z_level,1857,0.8523166647659277,0.41856531657152474,,2,False,Bridge-like;Other/mixed;Slope-like
w0500_detail_z_level_d1,paper_sigma03_lr01_seq,5,500,detail,z_level_d1,1102,0.839548256559843,0.1436234363579766,1190.0,2,False,Hill-like;Other/mixed;Slope-like
w0200_coverage_z_level_d1,random_sigma05_lr01,4,200,coverage,z_level_d1,1770,0.8387009815745822,0.25096097954596047,,2,False,Hill-like;Other/mixed;Slope-like
w0200_dense_z_level_d1_d2,paper_sigma05_lr01_seq,4,200,dense,z_level_d1_d2,522,0.8265625249485947,0.05731342971155417,,2,False,Bridge-like;Slope-like
w0200_detail_z_level_d1,random_sigma05_lr01,4,200,detail,z_level_d1,1269,0.8258909159264927,0.20831515789070515,,2,False,Bridge-like;Slope-like
w0750_coverage_z_level_d1,paper_sigma05_lr03_seq,5,750,coverage,z_level_d1,770,0.825584034916447,0.1260632569710883,1349.0,2,False,Hill-like;Other/mixed;Slope-like
w0150_coverage_z_level_d1,random_sigma05_lr01,4,150,coverage,z_level_d1,1857,0.8145387154909538,0.2769031217588833,,2,False,Hill-like;Other/mixed;Slope-like
w0300_detail_z_level,random_sigma05_lr01,4,300,detail,z_level,1325,0.7981078882601972,0.320013107518904,740.0,2,False,Bridge-like;Slope-like
w0300_coverage_z_level_d1,random_sigma12_lr03,3,300,coverage,z_level_d1,1590,0.7922342626656098,0.21960674386205162,848.5,2,False,Bridge-like;Slope-like
w0150_detail_z_level,paper_sigma05_lr01_seq,5,150,detail,z_level,1103,0.7906775633387487,0.2876670326054762,,2,False,Bridge-like;Other/mixed;Slope-like
w0300_coverage_z_level_d1_d2,random_sigma05_lr01,4,300,coverage,z_level_d1_d2,1590,0.7825644481422837,0.05970863032823047,938.0,2,False,Bridge-like;Slope-like
w0200_detail_z_level,random_sigma12_lr03,4,200,detail,z_level,1269,0.7812457679701116,0.31558235302705734,,2,False,Bridge-like;Slope-like
w0300_detail_z_level_d1_d2,random_sigma05_lr01,4,300,detail,z_level_d1_d2,1325,0.779709067681556,0.05817018778463072,1101.5,2,False,Bridge-like;Slope-like
w0500_dense_z_level_d1_d2,paper_sigma05_lr01_seq,4,500,dense,z_level_d1_d2,774,0.7695161620337304,0.05288433143289785,1206.0,2,False,Bridge-like;Slope-like
w0150_dense_z_level_d1,random_sigma05_lr01,4,150,dense,z_level_d1,422,0.7692440055473523,0.16916973830730403,,2,False,Bridge-like;Slope-like
w0200_dense_z_level_d1,random_sigma05_lr01,4,200,dense,z_level_d1,522,0.7651495068397746,0.18580810846828585,,2,False,Bridge-like;Slope-like
w1000_detail_z_level_d1,paper_sigma03_lr01_seq,4,1000,detail,z_level_d1,472,0.764632999055161,0.18112457411809763,1195.5,2,False,Hill-like;Other/mixed;Slope-like
