variant_id,setting_id,elbow_k,sigma,learning_rate,random_order,n,silhouette_median,seed_ari_from_search,posthoc_target_type_coverage,posthoc_exact_four,posthoc_names,bridge_count,hill_count,slope_count,valley_count,other_count,primary_som_rank_sum
w0300_coverage_z_level_d1_d2,sigma0.3_lr0.3_sequential,4,0.3,0.3,False,1590,0.0538861912350574,1.0,1,False,Other/mixed;Slope-like,0,0,3,0,1,808.5
w0300_coverage_maxabs_level,sigma0.5_lr0.3_sequential,5,0.5,0.3,False,1590,0.4872980326997242,0.9995637721574946,1,False,Slope-like,0,0,5,0,0,720.5
w0300_coverage_maxabs_level,sigma0.3_lr0.1_random,4,0.3,0.1,True,1590,0.528211727861666,0.9758750421190832,1,False,Slope-like,0,0,4,0,0,439.0
w0300_coverage_maxabs_level,sigma0.2_lr0.1_random,4,0.2,0.1,True,1590,0.528211727861666,0.9758750421190832,1,False,Slope-like,0,0,4,0,0,441.0
w0300_coverage_maxabs_level,sigma0.8_lr0.03_sequential,4,0.8,0.03,False,1590,0.4706395404270706,0.9602989733954406,1,False,Slope-like,0,0,4,0,0,335.5
w0300_coverage_maxabs_level,sigma0.5_lr0.03_random,4,0.5,0.03,True,1590,0.4885365313978464,0.9585240620582844,1,False,Slope-like,0,0,4,0,0,309.5
w0300_coverage_maxabs_level,sigma1.2_lr0.1_random,5,1.2,0.1,True,1590,0.4389260258891796,0.92560958070077,1,False,Slope-like,0,0,5,0,0,450.0
w0300_coverage_maxabs_level,sigma0.2_lr0.1_sequential,4,0.2,0.1,False,1590,0.5149244532411018,0.9186370274641692,1,False,Slope-like,0,0,4,0,0,406.5
w0300_coverage_maxabs_level,sigma0.3_lr0.1_sequential,4,0.3,0.1,False,1590,0.5149244532411018,0.9186370274641692,1,False,Slope-like,0,0,4,0,0,406.5
w0300_coverage_maxabs_level,sigma0.5_lr0.1_random,4,0.5,0.1,True,1590,0.515985060280854,0.9041487652860276,1,False,Slope-like,0,0,4,0,0,411.5
w0300_coverage_maxabs_level,sigma0.8_lr0.03_random,4,0.8,0.03,True,1590,0.4670395511690414,0.89663652505668,1,False,Slope-like,0,0,4,0,0,338.5
w0300_coverage_maxabs_level,sigma0.8_lr0.1_random,4,0.8,0.1,True,1590,0.4917868015187041,0.888299086105571,1,False,Slope-like,0,0,4,0,0,358.0
w0300_coverage_z_level_d1,sigma0.5_lr0.1_random,4,0.5,0.1,True,1590,0.1932415555900735,0.8860529604317691,1,False,Other/mixed;Slope-like,0,0,3,0,1,725.0
w0300_coverage_maxabs_level,sigma2_lr0.03_random,5,2.0,0.03,True,1590,0.4073796914403293,0.8829313929510197,1,False,Slope-like,0,0,5,0,0,382.0
w0300_coverage_z_level,sigma0.2_lr0.1_sequential,4,0.2,0.1,False,1590,0.3594832044074837,0.8765196405374874,1,False,Other/mixed;Slope-like,0,0,2,0,2,642.5
w0300_coverage_z_level,sigma0.3_lr0.1_sequential,4,0.3,0.1,False,1590,0.3594832044074837,0.8765196405374874,1,False,Other/mixed;Slope-like,0,0,2,0,2,642.5
w0300_coverage_maxabs_level,sigma0.5_lr0.03_sequential,4,0.5,0.03,False,1590,0.4882106052462112,0.8489606911027018,1,False,Slope-like,0,0,4,0,0,348.5
w0300_coverage_z_level,sigma0.2_lr0.03_sequential,4,0.2,0.03,False,1590,0.3220857502002524,0.8406496801614197,1,False,Other/mixed;Slope-like,0,0,3,0,1,534.5
w0300_coverage_z_level,sigma0.3_lr0.03_sequential,4,0.3,0.03,False,1590,0.3220857502002524,0.8406496801614197,1,False,Other/mixed;Slope-like,0,0,3,0,1,538.5
w0300_coverage_maxabs_level,sigma0.3_lr0.03_random,4,0.3,0.03,True,1590,0.5000298572416499,0.8350093673673965,1,False,Slope-like,0,0,4,0,0,353.5
w0300_coverage_z_level_d1,sigma0.2_lr0.3_random,3,0.2,0.3,True,1590,0.2225419237909794,0.8347988677148835,1,False,Other/mixed;Slope-like,0,0,2,0,1,718.0
