config_id,sample_id,bic,segments,cp_f1
CP002,S0100,-187.31159696214164,3,1.0
CP002,S0103,-212.88319193425224,3,1.0
CP002,S0104,-171.87610630970775,2,1.0
CP002,S0105,-289.0836929533981,2,1.0
CP002,S0106,-188.47602881337758,3,1.0
CP002,S0107,-236.9410721525931,2,1.0
CP002,S0108,-207.37175443560773,2,1.0
CP002,S0109,-333.803145505092,3,1.0
CP002,S0110,-303.5846333451343,2,1.0
CP002,S0118,-160.09709929513164,2,1.0
CP002,S0119,-114.9144652520808,3,0.8333333333333333
CP002,S0125,-100.28299334345807,3,1.0
CP002,S0126,-79.84546798148337,3,1.0
CP002,S0127,-139.89931295746,2,1.0
CP002,S0128,-298.785499810356,3,0.75
CP002,S0129,-237.32025925335094,2,1.0
CP002,S0130,-248.3607797179699,2,1.0
CP002,S0134,-357.4623084392589,3,1.0
CP002,S0135,-366.7216889108612,2,0.5
CP002,S0136,-236.14348072752324,2,0.5
CP002,S0137,-215.06867675272034,2,1.0
CP002,S0138,-217.18029309747453,2,1.0
CP002,S0139,-193.46650710024366,2,1.0
CP002,S0140,-122.64184089530254,2,1.0
CP002,S0141,-278.07203426036796,2,1.0
CP002,S0150,-262.19236900761473,3,0.0
CP002,S0151,-174.6304763635294,2,1.0
CP002,S0152,-227.6159066644434,2,0.5
CP002,S0153,-284.3809151084396,3,1.0
CP002,S0154,-239.47157054845897,2,1.0
CP002,S0163,-254.22316013752098,2,1.0
CP002,S0164,-355.52338592566826,3,1.0
CP002,S0165,-481.47474154379546,3,0.5
CP002,S0166,-433.68027876362765,3,1.0
CP002,S0167,-372.1827600849834,3,1.0
CP002,S0170,-684.4475965163916,3,1.0
CP002,S0171,-215.5858677604937,2,1.0
CP002,S0172,-225.98358759473314,2,0.5
CP002,S0173,-391.43181497916555,2,1.0
CP002,S0174,-196.1031368333908,2,1.0
CP002,S0175,-216.04971886130403,2,1.0
CP002,S0176,-175.15413741967805,3,0.25
CP002,S0177,-352.26804827323406,3,1.0
CP002,S0178,-83.11258357930912,2,1.0
CP002,S0179,-221.38781421557624,2,1.0
CP002,S0180,-175.25203128168977,2,1.0
CP002,S0181,-193.83076721941728,2,1.0
CP002,S0182,-356.6160079717522,3,1.0
CP002,S0183,-281.71941457889784,2,1.0
CP002,S0184,-459.1811743459357,2,1.0
CP002,S0185,-317.49990994074136,2,1.0
CP002,S0186,-282.9196342809659,3,1.0
CP002,S0187,-240.76843930369927,3,1.0
CP002,S0191,-445.07791251760847,3,1.0
CP002,S0192,-163.43744276440177,2,1.0
CP002,S0193,-255.03786988019732,3,1.0
CP002,S0194,-534.8927562565033,3,0.0
CP002,S0195,-241.29786442479954,3,1.0
CP002,S0196,-255.723152438548,3,0.5
CP002,S0197,-97.48281744994355,3,0.0
CP002,S0198,-157.68270423675168,2,1.0
CP002,S0199,-185.0655206197759,2,0.5
CP002,S0202,-79.23132951577715,3,0.75
CP002,S0205,-81.94673521846022,2,1.0
CP002,S0206,1505.1832449130256,2,1.0
CP002,S0207,-97.00743137536801,2,1.0
CP002,S0208,-78.59404296012788,2,1.0
CP002,S0209,-106.6603890086888,2,1.0
CP002,S0210,-107.07038835445289,2,1.0
CP002,S0211,-117.1147988140329,2,1.0
CP002,S0212,-85.43334709819217,2,1.0
CP002,S0213,-173.25786270008433,2,1.0
CP002,S0214,-752.8600655651021,1,1.0
CP002,S0215,-91.92221284325535,3,0.6666666666666666
CP002,S0216,-82.81444138132775,2,1.0
CP002,S0217,-353.7846327324053,3,0.0
CP002,S0218,-481.5276847227447,3,1.0
CP003,S0003,-174.44810549029185,2,1.0
CP003,S0004,-106.2016109760335,2,1.0
CP003,S0005,-338.19965427648896,2,1.0
CP003,S0006,-300.8337806109225,2,1.0
CP003,S0007,-163.5569624279175,2,1.0
CP003,S0008,-208.6600724165615,2,0.0
CP003,S0009,-146.32693485416792,2,1.0
CP003,S0010,-236.8469568739155,2,1.0
CP003,S0011,-301.4850229089286,2,0.5
CP003,S0012,-364.0301752173174,2,1.0
CP003,S0013,-267.30868145379554,2,1.0
CP003,S0014,-346.6732351387049,2,1.0
CP003,S0015,-281.2807781974935,2,1.0
CP003,S0016,-301.9561095297896,3,1.0
CP003,S0017,-602.1447996504095,3,1.0
CP003,S0018,-131.2170373258474,2,0.5
CP003,S0019,-224.14064135111425,2,0.5
CP003,S0020,-218.8654954152283,2,0.5
CP003,S0021,-304.0724408469092,2,1.0
CP003,S0022,-155.9170025614137,2,1.0
CP003,S0023,-244.90342953722217,2,1.0
CP003,S0025,-326.806968712555,2,1.0
CP003,S0028,-351.06290346761654,2,1.0
CP003,S0029,-304.2306518246615,3,1.0
CP003,S0030,-272.48531308180526,2,1.0
CP003,S0031,-214.7183300474935,2,1.0
CP003,S0034,-191.45825655287553,2,0.5
CP003,S0035,-161.5239341691471,2,1.0
CP003,S0036,-133.4677014780025,2,1.0
CP003,S0037,-274.1537760316382,2,1.0
CP003,S0038,-293.97191251503773,2,1.0
CP003,S0039,-144.24665709276266,2,0.5
CP003,S0040,-143.92452147160813,2,1.0
CP003,S0044,-138.89490910820567,2,1.0
CP003,S0045,-508.3494951397486,2,1.0
CP003,S0046,-72.17856866793714,2,0.5
CP003,S0047,-78.3306732588573,2,1.0
CP003,S0048,-174.93258576177985,2,0.5
CP003,S0049,-211.83606731199907,2,1.0
CP003,S0050,-306.94198062557786,2,1.0
CP003,S0051,-167.0991888612291,2,1.0
CP003,S0052,-203.41142511717086,2,1.0
CP003,S0053,-264.1134251077068,2,1.0
CP003,S0054,-178.48706715487663,2,1.0
CP003,S0055,-261.69967886360627,2,1.0
CP003,S0056,-260.6466624146344,2,1.0
CP003,S0057,-235.61023572711403,2,1.0
CP003,S0058,-285.23464823614876,2,1.0
CP003,S0059,-123.95095168343185,2,1.0
CP003,S0060,-318.5395611133872,2,0.5
CP003,S0061,-223.99439330512533,2,1.0
CP003,S0062,-140.3376334798538,2,1.0
CP003,S0063,-499.62546854903877,2,1.0
CP003,S0064,-450.1799398903258,2,1.0
CP003,S0065,-372.9056117586308,2,1.0
CP003,S0066,-262.6781030525553,2,1.0
CP003,S0067,-365.90513128149814,3,1.0
CP003,S0071,-225.93995320668722,2,1.0
CP003,S0072,-267.5142741235077,2,1.0
CP003,S0075,-319.5499646224896,2,0.5
CP003,S0076,-228.34661436999264,2,0.0
CP003,S0077,-318.65658999850524,2,1.0
CP003,S0080,-189.7786417138093,2,0.0
CP003,S0081,-417.6209238039032,3,1.0
CP003,S0082,-299.3246952123737,2,0.5
CP003,S0083,-245.9437538105338,2,1.0
CP003,S0084,-206.24607340984082,2,1.0
CP003,S0085,-185.68825175107233,2,1.0
CP003,S0086,-240.91756314571026,2,1.0
CP003,S0087,-208.12226159062521,2,1.0
CP003,S0088,-260.00545444062146,2,1.0
CP003,S0089,-270.8857820543319,2,1.0
CP003,S0090,-258.89273112114813,2,0.5
CP003,S0091,-117.51644507202141,2,1.0
CP003,S0092,-223.5316868032285,2,1.0
CP003,S0093,-111.60365212797568,2,1.0
CP003,S0095,-162.3755569763183,2,0.0
CP003,S0096,-141.74401173801684,2,1.0
CP003,S0099,-171.41811083687483,3,1.0
CP003,S0100,-187.31159696214164,3,1.0
CP003,S0103,-117.85772719863142,2,1.0
CP003,S0104,-171.87610630970775,2,1.0
CP003,S0105,-289.0836929533981,2,1.0
CP003,S0106,-188.47602881337758,3,0.8333333333333333
CP003,S0107,-236.9410721525931,2,1.0
CP003,S0108,-207.37175443560773,2,1.0
CP003,S0109,-333.803145505092,3,1.0
CP003,S0110,-303.5846333451343,2,1.0
CP003,S0118,-160.09709929513164,2,1.0
CP003,S0119,-89.91777788817363,2,1.0
CP003,S0125,-100.28299334345807,3,1.0
CP003,S0126,-28.714232950148396,1,1.0
CP003,S0127,-139.89931295746,2,1.0
CP003,S0128,-298.785499810356,3,0.0
CP003,S0129,-237.32025925335094,2,1.0
CP003,S0130,-248.3607797179699,2,1.0
CP003,S0134,-312.1211214353943,2,1.0
CP003,S0135,-366.7216889108612,2,0.5
CP003,S0136,-236.14348072752324,2,0.5
CP003,S0137,-215.06867675272034,2,1.0
CP003,S0138,-217.18029309747453,2,1.0
CP003,S0139,-193.46650710024366,2,1.0
CP003,S0140,-122.64184089530254,2,1.0
CP003,S0141,-278.07203426036796,2,1.0
CP003,S0150,-222.84641765075642,2,1.0
CP003,S0151,-174.6304763635294,2,1.0
CP003,S0152,-227.6159066644434,2,0.5
